fn_name,seed,dpus,tasklets,wramRow,wramCol,dpuCols,mramRow,mramCol,cinm2_unc_ms,cinm1_best_ms,cinm1_n_configs,speedup_vs_cinm1_best,prim
gemv_256MB,1028,2048.0,16.0,1.0,256.0,32.0,128.0,256.0,1120.735273,57.826183666666665,18,0.0515966482538527,prim_gemv
gemv_256MB,129,1024.0,16.0,1.0,32.0,32.0,256.0,256.0,1131.7054185,57.826183666666665,18,0.0510964980120987,prim_gemv
gemv_256MB,160,1024.0,4.0,8.0,4.0,4.0,32.0,2048.0,1126.0135883333332,57.826183666666665,18,0.0513547831623044,prim_gemv
gemv_256MB,191,1024.0,4.0,16.0,128.0,32.0,256.0,256.0,1137.7592935,57.826183666666665,18,0.0508246199323764,prim_gemv
gemv_256MB,222,512.0,4.0,1.0,1024.0,1.0,16.0,8192.0,479.0547983333333,57.826183666666665,18,0.1207089123579352,prim_gemv
gemv_256MB,253,1024.0,4.0,32.0,1.0,16.0,128.0,512.0,1132.633204,57.826183666666665,18,0.0510546428115016,prim_gemv
gemv_256MB,284,1024.0,8.0,16.0,64.0,16.0,128.0,512.0,1137.132494166667,57.826183666666665,18,0.0508526349948726,prim_gemv
gemv_256MB,315,2048.0,8.0,1.0,1.0,2.0,8.0,4096.0,1142.3945111666667,57.826183666666665,18,0.0506184011752751,prim_gemv
gemv_256MB,346,1024.0,2.0,64.0,64.0,128.0,1024.0,64.0,1186.8644001666669,57.826183666666665,18,0.048721811572195,prim_gemv
gemv_256MB,377,2048.0,4.0,8.0,16.0,16.0,64.0,512.0,1124.8081048333331,57.826183666666665,18,0.0514098213003496,prim_gemv
gemv_256MB,408,128.0,16.0,128.0,4.0,64.0,4096.0,128.0,1225.2051586666666,57.826183666666665,18,0.0471971434805222,prim_gemv
gemv_256MB,439,1024.0,8.0,4.0,256.0,4.0,32.0,2048.0,1130.8616385,57.826183666666665,18,0.0511346231032901,prim_gemv
gemv_256MB,470,512.0,8.0,8.0,128.0,16.0,256.0,512.0,1158.5188838333331,57.826183666666665,18,0.0499138895995636,prim_gemv
gemv_256MB,501,1024.0,16.0,2.0,4.0,8.0,64.0,1024.0,1136.3660713333334,57.826183666666665,18,0.0508869325875045,prim_gemv
gemv_256MB,532,512.0,4.0,8.0,128.0,64.0,1024.0,128.0,1190.3698103333334,57.826183666666665,18,0.0485783352070008,prim_gemv
gemv_256MB,563,2048.0,4.0,32.0,64.0,64.0,256.0,128.0,1139.8639283333332,57.826183666666665,18,0.0507307777966252,prim_gemv
gemv_256MB,594,256.0,16.0,1.0,64.0,8.0,256.0,1024.0,1157.7845285,57.826183666666665,18,0.0499455487987777,prim_gemv
gemv_256MB,625,512.0,8.0,512.0,1.0,256.0,4096.0,32.0,1269.002769833333,57.826183666666665,18,0.0455682091807107,prim_gemv
gemv_256MB,656,1024.0,4.0,8.0,256.0,4.0,32.0,2048.0,1129.1130363333332,57.826183666666665,18,0.0512138127945547,prim_gemv
gemv_256MB,67,1024.0,8.0,1.0,256.0,32.0,256.0,256.0,1127.1612183333332,57.826183666666665,18,0.051302495797514,prim_gemv
gemv_256MB,687,2048.0,4.0,1.0,512.0,8.0,32.0,1024.0,1128.2635006666667,57.826183666666665,18,0.0512523746735566,prim_gemv
gemv_256MB,718,1024.0,4.0,16.0,128.0,64.0,512.0,128.0,1164.4285418333332,57.826183666666665,18,0.0496605687590088,prim_gemv
gemv_256MB,749,1024.0,8.0,1.0,8.0,1.0,8.0,8192.0,464.3196128333333,57.826183666666665,18,0.1245396103640861,prim_gemv
gemv_256MB,780,512.0,16.0,2.0,64.0,16.0,256.0,512.0,1153.9773701666668,57.826183666666665,18,0.0501103272573836,prim_gemv
gemv_256MB,811,512.0,8.0,8.0,128.0,64.0,1024.0,128.0,1180.1092703333331,57.826183666666665,18,0.0490007028335038,prim_gemv
gemv_256MB,842,512.0,8.0,32.0,4.0,16.0,256.0,512.0,1155.29688,57.826183666666665,18,0.050053094289207,prim_gemv
gemv_256MB,873,512.0,8.0,128.0,2.0,64.0,1024.0,128.0,1184.2507528333333,57.826183666666665,18,0.0488293408539676,prim_gemv
gemv_256MB,904,2048.0,16.0,1.0,4.0,4.0,16.0,2048.0,1124.0069961666668,57.826183666666665,18,0.0514464624009264,prim_gemv
gemv_256MB,935,1024.0,16.0,1.0,16.0,128.0,1024.0,64.0,1185.5825556666668,57.826183666666665,18,0.0487744892924393,prim_gemv
gemv_256MB,966,1024.0,2.0,32.0,128.0,64.0,512.0,128.0,1149.7949225,57.826183666666665,18,0.0502926065640776,prim_gemv
gemv_256MB,98,2048.0,8.0,1.0,1024.0,8.0,32.0,1024.0,1123.20077,57.826183666666665,18,0.0514833903351639,prim_gemv
gemv_256MB,997,512.0,16.0,2.0,8.0,2.0,32.0,4096.0,1142.739922,57.826183666666665,18,0.0506031009798454,prim_gemv
gemv_4MB,1028,512.0,8.0,4.0,32.0,16.0,32.0,32.0,21.79448083333333,3.418309,17,0.1568428734843687,prim_gemv
gemv_4MB,129,512.0,16.0,1.0,128.0,8.0,16.0,128.0,19.1926375,3.418309,17,0.1781052239432959,prim_gemv
gemv_4MB,160,1024.0,8.0,8.0,16.0,64.0,64.0,16.0,20.526099833333333,3.418309,17,0.1665347546662927,prim_gemv
gemv_4MB,191,512.0,2.0,2.0,256.0,2.0,4.0,512.0,18.496196666666663,3.418309,17,0.1848114540304592,prim_gemv
gemv_4MB,222,512.0,4.0,8.0,64.0,16.0,32.0,64.0,20.507963,3.418309,17,0.16668203468087,prim_gemv
