stem,fn,operand,dir,lifted,pushes,bytes_per_push_per_dpu,bytes,scatter_ms,mib_per_ms
mmtv_256_512_512.reproduced,copy_A,A,h2d,True,16384,8,268435456,9359.420203332169,0.02735212165267012
mtv_8192_1_16384.reproduced,copy_A,A,h2d,True,4096,64,536870912,2250.480539786319,0.22750696615604327
gemv_8192_1_16384.published,copy_A,A,h2d,True,4096,64,536870912,1964.4299844900768,0.26063540265748086
gemv_8192_1_16384.reproduced,copy_A,A,h2d,True,4096,64,536870912,1912.939635105431,0.26765089216826293
ttv_512_512_512.published,copy_A,A,h2d,True,4096,64,536870912,1890.3152258135376,0.27085429615563184
mmtv_512_512_512.reproduced,copy_A,A,h2d,True,2048,128,536870912,1084.8684132409592,0.47194663772211803
gemv_8192_1_8192.reproduced,copy_A,A,h2d,True,2048,64,268435456,972.2228612129888,0.2633141126517051
mtv_8192_1_16384.published,copy_A,A,h2d,True,2048,128,536870912,969.9499090202152,0.5278623104539404
ttv_256_512_512.published,copy_A,A,h2d,True,2048,64,268435456,960.2973374227682,0.2665840985116641
ttv_512_512_512.reproduced,copy_A,A,h2d,True,1024,256,536870912,636.2670178835591,0.8046936044289809
mtv_8192_1_8192.reproduced,copy_A,A,h2d,True,1024,128,268435456,508.5438632716735,0.5033980714132422
mtv_8192_1_8192.published,copy_A,A,h2d,True,1024,128,268435456,485.2756365823249,0.5275352412145478
gemv_8192_1_8192.published,copy_A,A,h2d,True,1024,128,268435456,448.41710726420087,0.5708970417338884
ttv_128_256_512.published,copy_A,A,h2d,True,1024,64,67108864,359.89185034607846,0.1778312010634763
mmtv_512_512_512.published,copy_A,A,h2d,True,512,512,536870912,316.6980038707455,1.6166821190605403
mtv_4096_1_4096.reproduced,copy_A,A,h2d,True,512,64,67108864,213.16581902404627,0.30023575211549486
gemv_4096_1_4096.reproduced,copy_A,A,h2d,True,512,64,67108864,202.79251970350745,0.3155934947382237
ttv_128_256_512.reproduced,copy_A,A,h2d,True,512,128,67108864,171.78178826967874,0.37256568722830474
mmtv_128_256_512.reproduced,copy_A,A,h2d,True,128,256,67108864,75.61248696098725,0.846421041977117
gemv_1024_1_1024.reproduced,copy_A,A,h2d,True,512,32,4194304,72.6612323584656,0.05504998842114971
mtv_4096_1_4096.published,copy_A,A,h2d,True,128,256,67108864,68.44718024755518,0.9350275609386549
gemv_4096_1_4096.published,copy_A,A,h2d,True,128,256,67108864,68.35779299338658,0.9362502385966706
red_67108864_1_1.reproduced,copy_A,A,h2d,True,1,262144,536870912,63.93595086410642,8.00801416230186
mmtv_128_256_512.published,copy_A,A,h2d,True,128,256,67108864,56.59327485288183,1.130876418909711
red_67108864_1_1.published,copy_A,A,h2d,True,1,131072,536870912,39.52836043511828,12.95272544482069
ttv_32_64_512.published,copy_A,A,h2d,True,256,64,4194304,36.46622411906719,0.10969054506272585
ttv_32_64_512.reproduced,copy_A,A,h2d,True,128,64,4194304,32.903315809865795,0.12156829491332397
red_33554432_1_1.published,copy_A,A,h2d,True,1,131072,268435456,32.55305796240767,7.864084544549678
red_33554432_1_1.reproduced,copy_A,A,h2d,True,1,131072,268435456,31.648135899255674,8.088944031803807
geva_67108864_1_1.reproduced,copy_A,A,h2d,True,1,131072,268435456,23.0912525827686,11.086449255292242
va_67108864_1_1.published,copy_A,A,h2d,True,1,131072,268435456,21.60786899427573,11.847535731904822
geva_67108864_1_1.published,copy_B,B,h2d,True,1,131072,268435456,21.548875297109287,11.879970368306951
geva_67108864_1_1.reproduced,copy_B,B,h2d,True,1,131072,268435456,21.40722842887044,11.958577489403094
va_67108864_1_1.reproduced,copy_A,A,h2d,True,1,131072,268435456,21.398579080899555,11.963411170067197
ttv_256_512_512.reproduced,copy_A,A,h2d,True,1,131072,268435456,21.356824164589245,11.986800941333856
geva_67108864_1_1.published,copy_A,A,h2d,True,1,131072,268435456,21.33521173770229,11.998943490568333
va_67108864_1_1.published,copy_B,B,h2d,True,1,131072,268435456,20.96547636513909,12.210550122565824
mmtv_256_512_512.published,copy_A,A,h2d,True,1,131072,268435456,20.71705072497328,12.356971240670173
va_67108864_1_1.reproduced,copy_B,B,h2d,True,1,131072,268435456,20.707614719867703,12.362602040996228
mmtv_32_64_512.published,copy_A,A,h2d,True,128,128,4194304,19.520571921020743,0.2049120290216803
gemv_1024_1_1024.published,copy_A,A,h2d,True,128,128,4194304,18.844869763900835,0.21225936024574632
red_8388608_1_1.reproduced,copy_A,A,h2d,True,1,65536,67108864,16.980595731486876,3.769007931878722
red_8388608_1_1.published,copy_A,A,h2d,True,1,65536,67108864,15.94219837958614,4.01450279792977
mtv_1024_1_1024.published,copy_A,A,h2d,True,64,256,4194304,11.477492128809294,0.3485081893421408
mmtv_32_64_512.reproduced,copy_A,A,h2d,True,32,256,4194304,10.559409546355406,0.3788090595823708
geva_16777216_1_1.published,copy_B,B,h2d,True,1,32768,67108864,6.211337167769671,10.303739480138498
geva_16777216_1_1.published,copy_A,A,h2d,True,1,32768,67108864,6.06869471569856,10.545925112107579
geva_16777216_1_1.reproduced,copy_A,A,h2d,True,1,32768,67108864,5.988057081898053,10.687940867075655
geva_16777216_1_1.reproduced,copy_B,B,h2d,True,1,32768,67108864,5.950517021119595,10.755367940777413
va_16777216_1_1.published,copy_A,A,h2d,True,1,32768,67108864,5.8984326509137945,10.850340045856932
va_16777216_1_1.reproduced,copy_A,A,h2d,True,1,32768,67108864,5.7837699229518575,11.065447079080279
va_16777216_1_1.published,copy_B,B,h2d,True,1,32768,67108864,5.778271860132615,11.075975923107771
va_16777216_1_1.reproduced,copy_B,B,h2d,True,1,32768,67108864,5.643087284018596,11.34130960214811
mtv_1024_1_1024.reproduced,copy_A,A,h2d,True,8,256,4194304,4.382607527077198,0.9126986560595896
red_524288_1_1.published,copy_A,A,h2d,True,1,16384,4194304,2.3206061062713466,1.7236876129861753
red_524288_1_1.reproduced,copy_A,A,h2d,True,1,16384,4194304,2.1753053491314254,1.8388223067612803
geva_1048576_1_1.published,copy_A,A,h2d,True,1,4096,4194304,0.9941958511869112,4.02335213451619
va_1048576_1_1.published,copy_A,A,h2d,True,1,4096,4194304,0.9920460482438406,4.032070897395297
geva_1048576_1_1.reproduced,copy_A,A,h2d,True,1,2048,4194304,0.9881195922692616,4.048092995316304
geva_1048576_1_1.reproduced,copy_B,B,h2d,True,1,2048,4194304,0.98570187886556,4.058022091429493
va_1048576_1_1.reproduced,copy_A,A,h2d,True,1,2048,4194304,0.9259347183008988,4.319958978684856
geva_1048576_1_1.published,copy_B,B,h2d,True,1,4096,4194304,0.847070167462031,4.722158982395394
va_1048576_1_1.published,copy_B,B,h2d,True,1,4096,4194304,0.8402296031514803,4.760603512417382
va_1048576_1_1.reproduced,copy_B,B,h2d,True,1,2048,4194304,0.7533916893104712,5.309323233524027
gemv_1024_1_1024.published,main,B,h2d,False,1,256,4096,0.0911943304042021,0.04283435146336691
mmtv_32_64_512.published,main,B,h2d,False,1,256,65536,0.0881276403864224,0.7091986092666247
ttv_32_64_512.published,main,B,h2d,False,1,256,2048,0.0861468724906444,0.022672036065059825
mtv_1024_1_1024.published,main,B,h2d,False,1,256,4096,0.0850980480511983,0.04590293302203415
mmtv_32_64_512.reproduced,main,B,h2d,False,1,256,65536,0.0757755090792973,0.8248047523454473
gemv_1024_1_1024.reproduced,main,B,h2d,False,1,256,4096,0.0751990204056104,0.051945490498817255
ttv_32_64_512.reproduced,main,B,h2d,False,1,256,2048,0.0729549986620744,0.02677164054305343
gemv_4096_1_4096.published,main,B,h2d,False,1,2048,16384,0.06793982659777,0.2299829243384154
mtv_4096_1_4096.published,main,B,h2d,False,1,512,16384,0.0663609243929386,0.23545482741440896
ttv_128_256_512.published,main,B,h2d,False,1,2048,2048,0.0539341320594151,0.03621315344146805
mtv_1024_1_1024.reproduced,main,B,h2d,False,1,256,4096,0.0511098963518937,0.0764284469118331
mmtv_512_512_512.published,main,B,h2d,False,1,2048,1048576,0.0482653267681598,20.718807205086428
mmtv_128_256_512.reproduced,main,B,h2d,False,1,2048,262144,0.046383279065291,5.389873356044745
mmtv_256_512_512.reproduced,main,B,h2d,False,1,2048,524288,0.045377329418746136,11.018718078050702
ttv_128_256_512.reproduced,main,B,h2d,False,1,2048,2048,0.0397482266028722,0.049137412330714336
mmtv_512_512_512.reproduced,main,B,h2d,False,1,2048,1048576,0.0384847323099772,25.984330407847196
mmtv_256_512_512.published,main,B,h2d,False,1,2048,524288,0.0354556056360403,14.102142412475239
mtv_8192_1_8192.published,main,B,h2d,False,1,1024,32768,0.0345952187975247,0.9033040138551153
mtv_8192_1_16384.published,main,B,h2d,False,1,1024,65536,0.031812892605861,1.9646122964777306
gemv_8192_1_16384.published,main,B,h2d,False,1,4096,65536,0.0317695861061414,1.9672903446456322
mmtv_128_256_512.published,main,B,h2d,False,1,2048,262144,0.0310841326912244,8.042688611690922
ttv_256_512_512.published,main,B,h2d,False,1,2048,2048,0.0298796221613883,0.06536645575538469
gemv_8192_1_8192.published,main,B,h2d,False,1,512,32768,0.0288604448239008,1.082796893487944
gemv_4096_1_4096.reproduced,main,B,h2d,False,1,1024,16384,0.028315931558609,0.5518094987501646
ttv_512_512_512.published,main,B,h2d,False,1,2048,2048,0.0281723526616891,0.06932772081388884
