iteration,elapsed_ns,bytes_per_dpu,num_dpus,num_blocks,kind,tag
0,200545,16,256,1,gather,
0,204575,16,256,1,gather,
0,204454,16,256,1,gather,
0,194292,16,256,1,gather,
1,150330,16,256,1,gather,
1,173579,16,256,1,gather,
1,187303,16,256,1,gather,
1,190845,16,256,1,gather,
2,178874,16,256,1,gather,
2,174061,16,256,1,gather,
2,187148,16,256,1,gather,
2,192382,16,256,1,gather,
3,165808,16,256,1,gather,
3,401984,16,256,1,gather,
3,196072,16,256,1,gather,
3,194695,16,256,1,gather,
4,177758,16,256,1,gather,
4,179736,16,256,1,gather,
4,201120,16,256,1,gather,
4,199431,16,256,1,gather,
5,191816,16,256,1,gather,
5,209715,16,256,1,gather,
5,213422,16,256,1,gather,
5,205589,16,256,1,gather,
6,187454,16,256,1,gather,
6,206821,16,256,1,gather,
6,201508,16,256,1,gather,
6,201341,16,256,1,gather,
7,186366,16,256,1,gather,
7,190166,16,256,1,gather,
7,200360,16,256,1,gather,
7,202085,16,256,1,gather,
8,201858,16,256,1,gather,
8,188693,16,256,1,gather,
8,211020,16,256,1,gather,
8,211675,16,256,1,gather,
9,188595,16,256,1,gather,
9,201022,16,256,1,gather,
9,207097,16,256,1,gather,
9,207026,16,256,1,gather,
