iteration,elapsed_ns,bytes_per_dpu,num_dpus,num_blocks,kind,tag
0,94131,16,256,1,bc,
0,1122762,16384,256,4,sg,A
0,179686,4096,256,1,bc,x
0,1180190,16384,256,4,sg,A
0,185452,4096,256,1,bc,x
0,1200494,16384,256,4,sg,A
0,183570,4096,256,1,bc,x
0,1194529,16384,256,4,sg,A
0,182928,4096,256,1,bc,x
0,75219,16,256,1,bc,
0,1107557,16384,256,4,sg,A
0,180208,4096,256,1,bc,x
0,1188501,16384,256,4,sg,A
0,181870,4096,256,1,bc,x
0,1177601,16384,256,4,sg,A
0,191194,4096,256,1,bc,x
0,1217083,16384,256,4,sg,A
0,198274,4096,256,1,bc,x
0,81282,16,256,1,bc,
0,1123239,16384,256,4,sg,A
0,189320,4096,256,1,bc,x
0,1210015,16384,256,4,sg,A
0,196138,4096,256,1,bc,x
0,1196869,16384,256,4,sg,A
0,189975,4096,256,1,bc,x
0,1201470,16384,256,4,sg,A
0,190619,4096,256,1,bc,x
0,80017,16,256,1,bc,
0,1092640,16384,256,4,sg,A
0,174325,4096,256,1,bc,x
0,1164225,16384,256,4,sg,A
0,178447,4096,256,1,bc,x
0,1176858,16384,256,4,sg,A
0,179367,4096,256,1,bc,x
0,1154065,16384,256,4,sg,A
0,174279,4096,256,1,bc,x
1,81789,16,256,1,bc,
1,1112218,16384,256,4,sg,A
1,173303,4096,256,1,bc,x
1,1155831,16384,256,4,sg,A
1,170190,4096,256,1,bc,x
1,1163206,16384,256,4,sg,A
1,173004,4096,256,1,bc,x
1,1151686,16384,256,4,sg,A
1,167831,4096,256,1,bc,x
1,61484,16,256,1,bc,
1,1106435,16384,256,4,sg,A
1,165471,4096,256,1,bc,x
1,1177001,16384,256,4,sg,A
1,167409,4096,256,1,bc,x
1,1181577,16384,256,4,sg,A
1,167508,4096,256,1,bc,x
1,1187412,16384,256,4,sg,A
1,171831,4096,256,1,bc,x
1,71504,16,256,1,bc,
1,1101057,16384,256,4,sg,A
1,165389,4096,256,1,bc,x
1,1193266,16384,256,4,sg,A
1,170679,4096,256,1,bc,x
1,1158903,16384,256,4,sg,A
1,164011,4096,256,1,bc,x
1,1203003,16384,256,4,sg,A
1,172910,4096,256,1,bc,x
1,76180,16,256,1,bc,
1,1044561,16384,256,4,sg,A
1,161549,4096,256,1,bc,x
1,1127408,16384,256,4,sg,A
1,160862,4096,256,1,bc,x
1,1120659,16384,256,4,sg,A
1,165813,4096,256,1,bc,x
