iteration,elapsed_ns,bytes
0,5559426,4194304
0,3073077,4194304
0,3079387,4194304
0,3030662,4194304
0,3074047,4194304
0,3058915,4194304
0,3045377,4194304
0,3023394,4194304
0,3001050,4194304
0,3024847,4194304
0,2949921,4194304
0,2984359,4194304
0,2999682,4194304
0,2967287,4194304
0,2928501,4194304
0,2957664,4194304
1,5199378,4194304
1,2787690,4194304
1,2863855,4194304
1,2823611,4194304
1,2757012,4194304
1,2750143,4194304
1,2784961,4194304
1,2772323,4194304
1,2826061,4194304
1,2795700,4194304
1,2780623,4194304
1,2818067,4194304
1,2816043,4194304
1,2810438,4194304
1,2824997,4194304
1,2762704,4194304
2,2412561,4194304
2,2474413,4194304
2,2525395,4194304
2,2585893,4194304
2,2576758,4194304
2,2600650,4194304
2,2597123,4194304
2,2599328,4194304
2,2590828,4194304
2,2587037,4194304
2,2612827,4194304
2,2597106,4194304
2,2617668,4194304
2,2605274,4194304
2,2673608,4194304
2,2655139,4194304
3,2441940,4194304
3,2551059,4194304
3,2694336,4194304
3,2702177,4194304
3,2715978,4194304
3,2698180,4194304
3,2705023,4194304
3,2663154,4194304
3,2654227,4194304
3,2666503,4194304
3,2669329,4194304
3,2712750,4194304
3,2716082,4194304
3,2696529,4194304
3,2717203,4194304
3,2717999,4194304
4,2856235,4194304
4,2428467,4194304
4,2572204,4194304
4,2574267,4194304
4,2634093,4194304
4,2602078,4194304
4,2624557,4194304
4,2623251,4194304
4,2634085,4194304
4,2585487,4194304
4,2606975,4194304
4,2615728,4194304
4,2635970,4194304
4,2617607,4194304
4,2617930,4194304
4,2611790,4194304
5,2349577,4194304
5,2538607,4194304
5,2836337,4194304
5,2654893,4194304
5,2627414,4194304
5,2641371,4194304
5,2673459,4194304
5,2618053,4194304
5,2605218,4194304
5,2668644,4194304
5,2672637,4194304
5,2707056,4194304
5,2682784,4194304
5,2690415,4194304
5,2703034,4194304
5,2714546,4194304
6,2351454,4194304
6,2462537,4194304
6,2577903,4194304
6,2647584,4194304
6,2615794,4194304
6,2636158,4194304
6,2614443,4194304
6,2617251,4194304
6,2594199,4194304
6,2625880,4194304
6,2601399,4194304
6,2653935,4194304
6,2656563,4194304
6,2666776,4194304
6,2660554,4194304
6,2649718,4194304
7,2410272,4194304
7,2431117,4194304
7,2513646,4194304
7,2583471,4194304
7,2568243,4194304
7,2572813,4194304
7,2582909,4194304
7,2596053,4194304
7,2571231,4194304
7,2649652,4194304
7,2668804,4194304
7,2714483,4194304
7,2718671,4194304
7,2714333,4194304
7,2715099,4194304
7,2711839,4194304
8,2363174,4194304
8,2403682,4194304
8,2505047,4194304
8,2499477,4194304
8,2562530,4194304
8,2561576,4194304
8,2646519,4194304
8,2637065,4194304
8,2632327,4194304
8,2629667,4194304
8,2628727,4194304
8,2598762,4194304
8,2611313,4194304
8,2609741,4194304
8,2632179,4194304
8,2673432,4194304
9,2344826,4194304
9,2564054,4194304
9,2570873,4194304
9,2568301,4194304
9,2574197,4194304
9,2587442,4194304
9,2620553,4194304
9,2624589,4194304
9,2618483,4194304
9,2607564,4194304
9,2603721,4194304
9,2590572,4194304
9,2594125,4194304
9,2617236,4194304
9,2631065,4194304
9,2643641,4194304
