iteration,elapsed_ns,bytes_per_dpu,num_dpus
0,213564,16,256
0,209057,16,256
0,204090,16,256
0,194490,16,256
1,205254,16,256
1,202517,16,256
1,202537,16,256
1,204419,16,256
2,201640,16,256
2,212677,16,256
2,196553,16,256
2,203334,16,256
3,199381,16,256
3,228420,16,256
3,224458,16,256
3,219258,16,256
4,192366,16,256
4,194261,16,256
4,202498,16,256
4,196504,16,256
5,203801,16,256
5,194608,16,256
5,200487,16,256
5,205826,16,256
6,190908,16,256
6,195363,16,256
6,200464,16,256
6,195892,16,256
7,200682,16,256
7,210571,16,256
7,214851,16,256
7,216451,16,256
8,206235,16,256
8,206322,16,256
8,201124,16,256
8,210618,16,256
9,197732,16,256
9,199579,16,256
9,197927,16,256
9,200191,16,256
