iteration,elapsed_ns,num_dpus
0,422917,256
0,403561,256
0,425792,256
0,419800,256
0,405457,256
0,415705,256
0,405165,256
0,421845,256
0,408806,256
0,409019,256
0,408858,256
0,416759,256
0,405967,256
0,406604,256
0,404475,256
0,404447,256
1,391324,256
1,401049,256
1,400262,256
1,447675,256
1,402365,256
1,405074,256
1,405661,256
1,403852,256
1,401977,256
1,420814,256
1,410355,256
1,402692,256
1,409039,256
1,405771,256
1,399783,256
1,400971,256
2,392635,256
2,387916,256
2,401441,256
2,400973,256
2,398824,256
2,400170,256
2,400648,256
2,401821,256
2,409627,256
2,400666,256
2,403478,256
2,397363,256
2,402733,256
2,396783,256
2,396717,256
2,400679,256
3,394096,256
3,385923,256
3,407885,256
3,407674,256
3,424407,256
3,419601,256
3,420637,256
3,417112,256
3,424153,256
3,419425,256
3,419185,256
3,418906,256
3,421860,256
3,421535,256
3,422109,256
3,430316,256
4,377584,256
4,400396,256
4,394034,256
4,402190,256
4,396890,256
4,409432,256
4,401060,256
4,406423,256
4,406032,256
4,408947,256
4,404556,256
4,407704,256
4,404096,256
4,405670,256
4,411141,256
4,403098,256
5,394130,256
5,389997,256
5,426158,256
5,403156,256
5,408516,256
5,406404,256
5,408267,256
5,403536,256
5,410133,256
5,410069,256
5,416303,256
5,420445,256
5,413689,256
5,414232,256
5,410584,256
5,417927,256
6,382459,256
6,379011,256
6,401053,256
6,401357,256
6,402781,256
6,405046,256
6,405065,256
6,402328,256
6,406332,256
6,402316,256
6,406302,256
6,402902,256
6,398240,256
6,405726,256
6,404560,256
6,399844,256
7,390217,256
7,393276,256
7,398843,256
7,405704,256
7,404233,256
7,405647,256
7,401844,256
7,418043,256
7,404414,256
7,407476,256
7,402423,256
7,403844,256
7,405178,256
7,421499,256
7,411373,256
7,398429,256
8,384965,256
8,384959,256
8,394778,256
8,404839,256
8,401181,256
8,404773,256
8,406680,256
8,408821,256
8,408710,256
8,405070,256
8,408694,256
8,407111,256
8,397388,256
8,403564,256
8,414702,256
8,406762,256
9,370554,256
9,384335,256
9,381587,256
9,403309,256
9,404998,256
9,407394,256
9,404964,256
9,400944,256
9,403974,256
9,414360,256
9,402666,256
9,402973,256
9,417994,256
9,407753,256
9,404099,256
9,405335,256
