iteration,elapsed_ns,bytes_per_dpu,num_dpus,kind
0,120418,16,256,block
0,1124469,16384,256,sg
0,211602,4096,256,block
0,1182968,16384,256,sg
0,206040,4096,256,block
0,1254167,16384,256,sg
0,220480,4096,256,block
0,1637537,16384,256,sg
0,208834,4096,256,block
0,98280,16,256,block
0,1101014,16384,256,sg
0,231451,4096,256,block
0,1169712,16384,256,sg
0,201773,4096,256,block
0,1173336,16384,256,sg
0,212998,4096,256,block
0,1199302,16384,256,sg
0,216273,4096,256,block
0,104629,16,256,block
0,1119609,16384,256,sg
0,210200,4096,256,block
0,1213737,16384,256,sg
0,210037,4096,256,block
0,1195981,16384,256,sg
0,214560,4096,256,block
0,1230924,16384,256,sg
0,214366,4096,256,block
0,103627,16,256,block
0,1111128,16384,256,sg
0,209551,4096,256,block
0,1214363,16384,256,sg
0,212253,4096,256,block
0,1190264,16384,256,sg
0,208036,4096,256,block
0,1215224,16384,256,sg
0,208625,4096,256,block
1,87705,16,256,block
1,1089232,16384,256,sg
1,180826,4096,256,block
1,1164117,16384,256,sg
1,180203,4096,256,block
1,1147702,16384,256,sg
1,174943,4096,256,block
1,1147980,16384,256,sg
1,231132,4096,256,block
1,71250,16,256,block
1,1085574,16384,256,sg
1,187834,4096,256,block
1,1174172,16384,256,sg
1,187098,4096,256,block
1,1179823,16384,256,sg
1,189347,4096,256,block
1,1175682,16384,256,sg
1,186711,4096,256,block
1,82306,16,256,block
1,1115356,16384,256,sg
1,190500,4096,256,block
1,1177147,16384,256,sg
1,202745,4096,256,block
1,1201507,16384,256,sg
1,205294,4096,256,block
1,1188650,16384,256,sg
1,201182,4096,256,block
1,93490,16,256,block
1,1129675,16384,256,sg
1,204202,4096,256,block
1,1186659,16384,256,sg
1,201560,4096,256,block
1,1189897,16384,256,sg
1,215210,4096,256,block
1,1192139,16384,256,sg
1,199596,4096,256,block
2,103818,16,256,block
2,1103856,16384,256,sg
2,186458,4096,256,block
2,1171367,16384,256,sg
2,186526,4096,256,block
2,1211917,16384,256,sg
2,184755,4096,256,block
2,1163970,16384,256,sg
2,184231,4096,256,block
2,78896,16,256,block
2,1152481,16384,256,sg
2,186376,4096,256,block
2,1164569,16384,256,sg
2,185330,4096,256,block
2,1250653,16384,256,sg
2,200325,4096,256,block
2,1188441,16384,256,sg
2,198894,4096,256,block
2,93413,16,256,block
2,1159961,16384,256,sg
2,229957,4096,256,block
2,1192245,16384,256,sg
2,199634,4096,256,block
2,1188341,16384,256,sg
2,200157,4096,256,block
2,1198234,16384,256,sg
2,213035,4096,256,block
2,102448,16,256,block
2,1113747,16384,256,sg
2,210183,4096,256,block
2,1198724,16384,256,sg
2,212053,4096,256,block
2,1193937,16384,256,sg
2,215280,4096,256,block
2,1243919,16384,256,sg
2,216427,4096,256,block
3,103774,16,256,block
3,1094161,16384,256,sg
3,190875,4096,256,block
3,1156880,16384,256,sg
3,192434,4096,256,block
3,1156168,16384,256,sg
3,192446,4096,256,block
3,1170680,16384,256,sg
3,227389,4096,256,block
3,97670,16,256,block
3,1106639,16384,256,sg
3,203365,4096,256,block
3,1192411,16384,256,sg
3,207654,4096,256,block
3,1176019,16384,256,sg
3,206748,4096,256,block
3,1258967,16384,256,sg
3,207827,4096,256,block
3,98063,16,256,block
3,1097623,16384,256,sg
3,204212,4096,256,block
3,1196614,16384,256,sg
3,239170,4096,256,block
3,1195321,16384,256,sg
3,210457,4096,256,block
3,1196587,16384,256,sg
3,212494,4096,256,block
3,107970,16,256,block
3,1109007,16384,256,sg
3,210572,4096,256,block
3,1192847,16384,256,sg
3,209411,4096,256,block
3,1200727,16384,256,sg
3,215156,4096,256,block
3,1196955,16384,256,sg
3,210946,4096,256,block
4,125715,16,256,block
4,1180309,16384,256,sg
4,200167,4096,256,block
4,1160744,16384,256,sg
4,203789,4096,256,block
4,1211646,16384,256,sg
4,199740,4096,256,block
4,1158419,16384,256,sg
4,199838,4096,256,block
4,92585,16,256,block
4,1159363,16384,256,sg
4,211841,4096,256,block
4,1182855,16384,256,sg
4,212373,4096,256,block
4,1186235,16384,256,sg
4,208199,4096,256,block
4,1188929,16384,256,sg
4,210419,4096,256,block
4,104654,16,256,block
4,1106982,16384,256,sg
4,209161,4096,256,block
4,1193817,16384,256,sg
4,212664,4096,256,block
4,1202624,16384,256,sg
4,198109,4096,256,block
4,1219381,16384,256,sg
4,202423,4096,256,block
4,103264,16,256,block
4,1107237,16384,256,sg
4,197178,4096,256,block
4,1226231,16384,256,sg
4,205018,4096,256,block
4,1190961,16384,256,sg
4,202198,4096,256,block
4,1221154,16384,256,sg
4,203653,4096,256,block
5,101274,16,256,block
5,1104873,16384,256,sg
5,191608,4096,256,block
5,1206052,16384,256,sg
5,190514,4096,256,block
5,1175404,16384,256,sg
5,189439,4096,256,block
5,1180995,16384,256,sg
5,191195,4096,256,block
5,77922,16,256,block
5,1090381,16384,256,sg
5,184507,4096,256,block
5,1159078,16384,256,sg
5,192394,4096,256,block
5,1166931,16384,256,sg
5,190150,4096,256,block
5,1169227,16384,256,sg
5,202346,4096,256,block
5,96614,16,256,block
5,1107503,16384,256,sg
5,205774,4096,256,block
5,1191559,16384,256,sg
5,202109,4096,256,block
5,1204230,16384,256,sg
5,203160,4096,256,block
5,1188062,16384,256,sg
5,201043,4096,256,block
5,96539,16,256,block
5,1124627,16384,256,sg
5,209100,4096,256,block
5,1187566,16384,256,sg
5,196526,4096,256,block
5,1196507,16384,256,sg
5,206975,4096,256,block
5,1188884,16384,256,sg
5,199395,4096,256,block
6,110433,16,256,block
6,1095388,16384,256,sg
6,184276,4096,256,block
6,1159397,16384,256,sg
6,178328,4096,256,block
6,1171875,16384,256,sg
6,182985,4096,256,block
6,1167609,16384,256,sg
6,178347,4096,256,block
6,73851,16,256,block
6,1118760,16384,256,sg
6,191679,4096,256,block
6,1182318,16384,256,sg
6,195099,4096,256,block
6,1186282,16384,256,sg
6,192555,4096,256,block
6,1193559,16384,256,sg
6,194130,4096,256,block
6,90965,16,256,block
6,1105425,16384,256,sg
6,210271,4096,256,block
6,1185019,16384,256,sg
6,199195,4096,256,block
6,1241164,16384,256,sg
6,190802,4096,256,block
6,1209617,16384,256,sg
6,197693,4096,256,block
6,95217,16,256,block
6,1099198,16384,256,sg
6,185052,4096,256,block
6,1186751,16384,256,sg
6,189519,4096,256,block
6,1186991,16384,256,sg
6,188317,4096,256,block
6,1189241,16384,256,sg
6,195050,4096,256,block
7,96115,16,256,block
7,1097667,16384,256,sg
7,187271,4096,256,block
7,1178126,16384,256,sg
7,184724,4096,256,block
7,1184533,16384,256,sg
7,191992,4096,256,block
7,1167479,16384,256,sg
7,188182,4096,256,block
7,78154,16,256,block
7,1114174,16384,256,sg
7,189323,4096,256,block
7,1168698,16384,256,sg
7,187605,4096,256,block
7,1179282,16384,256,sg
7,189672,4096,256,block
7,1167151,16384,256,sg
7,186430,4096,256,block
7,93931,16,256,block
7,1112956,16384,256,sg
7,192386,4096,256,block
7,1189113,16384,256,sg
7,188093,4096,256,block
7,1182495,16384,256,sg
7,184966,4096,256,block
7,1186450,16384,256,sg
7,193801,4096,256,block
7,92055,16,256,block
7,1098761,16384,256,sg
7,187356,4096,256,block
7,1203445,16384,256,sg
7,197328,4096,256,block
7,1190369,16384,256,sg
7,195792,4096,256,block
7,1205642,16384,256,sg
7,203327,4096,256,block
8,101786,16,256,block
8,1157146,16384,256,sg
8,180682,4096,256,block
8,1154940,16384,256,sg
8,178712,4096,256,block
8,1198589,16384,256,sg
8,180457,4096,256,block
8,1147867,16384,256,sg
8,174021,4096,256,block
8,69200,16,256,block
8,1082830,16384,256,sg
8,179760,4096,256,block
8,1181155,16384,256,sg
8,190432,4096,256,block
8,1177195,16384,256,sg
8,189753,4096,256,block
8,1228115,16384,256,sg
8,192113,4096,256,block
8,81075,16,256,block
8,1095137,16384,256,sg
8,188108,4096,256,block
8,1225663,16384,256,sg
8,195083,4096,256,block
8,1191301,16384,256,sg
8,186585,4096,256,block
8,1224407,16384,256,sg
8,190600,4096,256,block
8,94796,16,256,block
8,1102064,16384,256,sg
8,187200,4096,256,block
8,1203537,16384,256,sg
8,190020,4096,256,block
8,1186321,16384,256,sg
8,186356,4096,256,block
8,1184653,16384,256,sg
8,186915,4096,256,block
9,97232,16,256,block
9,1094759,16384,256,sg
9,184011,4096,256,block
9,1178749,16384,256,sg
9,186339,4096,256,block
9,1182640,16384,256,sg
9,192454,4096,256,block
9,1168667,16384,256,sg
9,186941,4096,256,block
9,80377,16,256,block
9,1111136,16384,256,sg
9,186684,4096,256,block
9,1163147,16384,256,sg
9,185661,4096,256,block
9,1176044,16384,256,sg
9,189443,4096,256,block
9,1164134,16384,256,sg
9,186529,4096,256,block
9,91243,16,256,block
9,1112010,16384,256,sg
9,193200,4096,256,block
9,1187610,16384,256,sg
9,207106,4096,256,block
9,1189851,16384,256,sg
9,185605,4096,256,block
9,1196734,16384,256,sg
9,189559,4096,256,block
9,92236,16,256,block
9,1098920,16384,256,sg
9,189289,4096,256,block
9,1200832,16384,256,sg
9,205199,4096,256,block
9,1190017,16384,256,sg
9,197457,4096,256,block
9,1217878,16384,256,sg
9,206412,4096,256,block
