Category,Workload,M,N,K,PrIM-H2D,PrIM-Kernel,PrIM-After,PrIM-Total,PS-H2D,PS-Kernel,PS-After,PS-Total,ATiM-H2D,ATiM-Kernel,ATiM-After,ATiM-Total,SimplePIM-H2D,SimplePIM-Kernel,SimplePIM-After,CPU-Autotuned
POLY-S,va,1048576.0,1.0,1.0,0.0,0.370157,1.142899,1.5130560000000002,0.0,0.0,0.0,0.0,0.0,0.4888635209999999,1.127912783,1.616776304,0.0,0.279231,3.3578,0.866651
,red,524288.0,1.0,1.0,0.0,0.163447,1.082928,1.246375,0.0,0.0,0.0,0.0,0.001487807,0.2631201599999999,0.205100981,0.4697089479999999,0.0,0.35031,0.265663,0.297569
,mtv,1024.0,1.0,1024.0,0.617846,1.028625,0.466878,2.113349,0.0,0.0,0.0,0.0,0.1775735289999999,0.410288395,0.2771909589999999,0.8650528829999999,0.0,0.0,0.0,3.478641
,ttv,32.0,64.0,512.0,0.202267,0.951516,0.258072,1.411855,0.0,0.0,0.0,0.0,0.295138346,0.365062293,0.4434743779999999,1.103675017,0.0,0.0,0.0,9.690609
,mmtv,32.0,64.0,512.0,0.086521,1.231853,0.182535,1.500909,0.0,0.0,0.0,0.0,0.2861691209999999,0.3728219759999999,0.435560698,1.094551795,0.0,0.0,0.0,9.276358
,geva,1048576.0,1.0,1.0,0.0,0.55275,1.139363,1.692113,0.0,0.0,0.0,0.0,0.0,0.4817028740000001,1.111516094,1.593218968,0.0,0.0,0.0,0.849894
,gemv,1024.0,1.0,1024.0,0.918007,1.480376,0.467153,2.865536,0.0,0.0,0.0,0.0,0.223836598,0.560975959,0.277439871,1.062252428,0.0,0.0,0.0,8.001188
POLY-M,va,16777216.0,1.0,1.0,0.0,0.600817,6.839636,7.440453,0.0,0.0,0.0,0.0,0.0,0.6927195119999998,7.117810748999998,7.8105302609999985,0.0,0.496632,72.37,23.440341
,red,8388608.0,1.0,1.0,0.0,0.547434,1.614111,2.1615450000000003,0.0,0.0,0.0,0.0,0.0016096059999999,0.8574165919999999,0.204947848,1.0639740459999998,0.0,0.609129,0.310159,6.757363
,mtv,4096.0,1.0,4096.0,0.593927,5.379517,0.242151,6.215595,0.0,0.0,0.0,0.0,0.7116423129999999,0.8601116680000002,1.1251077500000002,2.6968617310000003,0.0,0.0,0.0,4.518966
,ttv,128.0,256.0,512.0,0.488133,1.397186,0.58244,2.467759,0.0,0.0,0.0,0.0,0.714668214,0.984822856,0.720301652,2.419792722,0.0,0.0,0.0,4.657098
,mmtv,128.0,256.0,512.0,0.482143,1.40731,0.58042,2.469873,0.0,0.0,0.0,0.0,0.7485195370000001,1.008184375,0.750606189,2.5073101010000003,0.0,0.0,0.0,4.475391
,geva,16777216.0,1.0,1.0,0.0,1.134345,6.966814,8.101159,0.0,0.0,0.0,0.0,0.0,1.129808134,7.349482586999999,8.479290720999998,0.0,0.0,0.0,12.375228
,gemv,4096.0,1.0,4096.0,0.812522,8.941913,0.247542,10.001976999999998,0.0,0.0,0.0,0.0,0.850182991,1.136243842,1.0613096060000002,3.0477364390000004,0.0,0.0,0.0,4.476654
POLY-L,va,67108864.0,1.0,1.0,0.0,1.147166,23.810045,24.957211,0.0,0.0,0.0,0.0,0.0,1.7710459,36.62684043,38.39788633,0.0,1.851288,285.7656,61.307794
,red,33554432.0,1.0,1.0,0.0,0.976147,2.09547,3.0716170000000003,0.0,0.0,0.0,0.0,0.001653433,0.928841281,0.4530957409999999,1.3835904549999998,0.0,0.810307,0.555088,18.321952
,mtv,8192.0,1.0,8192.0,1.952203,10.523024,0.370489,12.845716,0.0,0.0,0.0,0.0,0.7399327099999999,4.866441125,2.050782207,7.657156041999999,0.0,0.0,0.0,17.913056
,ttv,256.0,512.0,512.0,0.527669,2.42672,0.688528,3.642917,0.0,0.0,0.0,0.0,0.7570064809999999,1.997881802,0.902493455,3.657381738,0.0,0.0,0.0,18.599002
,mmtv,256.0,512.0,512.0,0.581455,2.451994,0.766762,3.800211,0.0,0.0,0.0,0.0,0.7595212039999999,1.9840611440000004,0.8761926509999999,3.619774999,0.0,0.0,0.0,18.286018
