tasklets,trial,barrier_ns,control_ns,overhead_ns_per_barrier
1,0,107400.0,69010.0,383.90
1,1,105558.0,71099.0,344.59
1,2,105858.0,68732.0,371.26
1,3,105040.0,68352.0,366.88
1,4,112151.0,68308.0,438.43
1,5,96975.0,68407.0,285.68
1,6,100207.0,67448.0,327.59
1,7,107834.0,66091.0,417.43
1,8,100243.0,67716.0,325.27
1,9,107155.0,66196.0,409.59
1,10,105196.0,68512.0,366.84
1,11,99347.0,68825.0,305.22
1,12,107027.0,66701.0,403.26
1,13,106385.0,68253.0,381.32
1,14,123067.0,68865.0,542.02
1,15,106300.0,69026.0,372.74
1,16,109336.0,74237.0,350.99
1,17,109611.0,74359.0,352.52
1,18,108674.0,67380.0,412.94
1,19,109219.0,65627.0,435.92
1,20,108774.0,68080.0,406.94
1,21,105742.0,74127.0,316.15
1,22,103427.0,73705.0,297.22
1,23,102200.0,67383.0,348.17
1,24,109520.0,67484.0,420.36
1,25,103562.0,66260.0,373.02
1,26,108983.0,71942.0,370.41
1,27,101022.0,68881.0,321.41
1,28,104256.0,67388.0,368.68
1,29,105937.0,72017.0,339.20
1,30,103462.0,67866.0,355.96
1,31,105531.0,67153.0,383.78
1,32,108919.0,68347.0,405.72
1,33,104031.0,68379.0,356.52
1,34,109566.0,67414.0,421.52
1,35,102529.0,67525.0,350.04
1,36,102578.0,68301.0,342.77
1,37,99308.0,66652.0,326.56
1,38,109068.0,68190.0,408.78
1,39,109148.0,72556.0,365.92
1,40,101267.0,67106.0,341.61
1,41,104835.0,74974.0,298.61
1,42,990870.0,66541.0,9243.29
1,43,103483.0,72744.0,307.39
1,44,109168.0,65065.0,441.03
1,45,106842.0,71781.0,350.61
1,46,104561.0,66965.0,375.96
1,47,104241.0,66293.0,379.48
1,48,103018.0,66316.0,367.02
1,49,109175.0,72528.0,366.47
1,50,108796.0,69348.0,394.48
1,51,101349.0,73417.0,279.32
1,52,108952.0,73767.0,351.85
1,53,105934.0,68558.0,373.76
1,54,109274.0,68561.0,407.13
1,55,109854.0,66130.0,437.24
1,56,105183.0,67757.0,374.26
1,57,104620.0,68300.0,363.20
1,58,106379.0,67013.0,393.66
1,59,104745.0,66989.0,377.56
1,60,108448.0,73945.0,345.03
1,61,109634.0,68551.0,410.83
1,62,110456.0,75180.0,352.76
1,63,103190.0,68331.0,348.59
1,64,103076.0,68559.0,345.17
1,65,104711.0,74018.0,306.93
1,66,103582.0,66731.0,368.51
1,67,101808.0,68241.0,335.67
1,68,105459.0,66579.0,388.80
1,69,101496.0,68261.0,332.35
1,70,105450.0,67107.0,383.43
1,71,105858.0,69189.0,366.69
1,72,114392.0,65965.0,484.27
1,73,109113.0,67452.0,416.61
1,74,104286.0,74027.0,302.59
1,75,106113.0,73320.0,327.93
1,76,102254.0,73383.0,288.71
1,77,100194.0,68437.0,317.57
1,78,99392.0,68398.0,309.94
1,79,99027.0,74828.0,241.99
1,80,109072.0,68393.0,406.79
1,81,109811.0,65528.0,442.83
1,82,104066.0,68626.0,354.40
1,83,104209.0,67544.0,366.65
1,84,103321.0,74733.0,285.88
1,85,104305.0,73932.0,303.73
1,86,103967.0,74853.0,291.14
1,87,102462.0,66218.0,362.44
1,88,101585.0,67655.0,339.30
1,89,103538.0,67375.0,361.63
1,90,102718.0,68987.0,337.31
1,91,104140.0,66602.0,375.38
1,92,103775.0,73169.0,306.06
1,93,104722.0,69332.0,353.90
1,94,106381.0,74719.0,316.62
1,95,105843.0,67083.0,387.60
1,96,105089.0,68396.0,366.93
1,97,101466.0,67619.0,338.47
1,98,103017.0,71950.0,310.67
1,99,99622.0,67960.0,316.62
2,0,141416.0,65428.0,759.88
2,1,142608.0,65522.0,770.86
2,2,142615.0,72640.0,699.75
2,3,143583.0,72693.0,708.90
2,4,142559.0,66613.0,759.46
2,5,141240.0,65050.0,761.90
2,6,140923.0,66304.0,746.19
2,7,142507.0,67345.0,751.62
2,8,140755.0,65095.0,756.60
2,9,142523.0,70839.0,716.84
2,10,141523.0,67817.0,737.06
2,11,144020.0,64777.0,792.43
2,12,143955.0,65294.0,786.61
2,13,140900.0,70151.0,707.49
2,14,142592.0,67278.0,753.14
2,15,153222.0,67295.0,859.27
2,16,147737.0,66601.0,811.36
2,17,143941.0,65706.0,782.35
2,18,143439.0,63930.0,795.09
2,19,143119.0,65531.0,775.88
2,20,140985.0,67743.0,732.42
2,21,139956.0,67750.0,722.06
2,22,142670.0,65351.0,773.19
2,23,148712.0,63687.0,850.25
2,24,143036.0,64021.0,790.15
2,25,141095.0,67188.0,739.07
2,26,140664.0,67396.0,732.68
2,27,143888.0,66516.0,773.72
2,28,142992.0,67284.0,757.08
2,29,146145.0,64880.0,812.65
2,30,149666.0,65416.0,842.50
2,31,143458.0,66976.0,764.82
2,32,142370.0,65656.0,767.14
2,33,144255.0,66515.0,777.40
2,34,144067.0,63392.0,806.75
2,35,142745.0,66714.0,760.31
2,36,140815.0,64901.0,759.14
2,37,141801.0,66783.0,750.18
2,38,147091.0,66715.0,803.76
2,39,142857.0,65751.0,771.06
2,40,140120.0,65073.0,750.47
2,41,141494.0,72233.0,692.61
2,42,141184.0,72920.0,682.64
2,43,143972.0,64947.0,790.25
2,44,144403.0,66659.0,777.44
2,45,142703.0,64979.0,777.24
2,46,141957.0,67561.0,743.96
2,47,142728.0,71179.0,715.49
2,48,141002.0,66429.0,745.73
2,49,143027.0,66855.0,761.72
2,50,143971.0,66785.0,771.86
2,51,147384.0,65436.0,819.48
2,52,142216.0,67453.0,747.63
2,53,141269.0,65472.0,757.97
2,54,142353.0,67304.0,750.49
2,55,147519.0,68301.0,792.18
2,56,142116.0,66888.0,752.28
2,57,141819.0,64762.0,770.57
2,58,142555.0,66238.0,763.17
2,59,142137.0,68021.0,741.16
2,60,140124.0,67139.0,729.85
2,61,148670.0,67602.0,810.68
2,62,141100.0,66852.0,742.48
2,63,149003.0,67224.0,817.79
2,64,140129.0,64798.0,753.31
2,65,146963.0,67397.0,795.66
2,66,142607.0,67827.0,747.80
2,67,143015.0,64825.0,781.90
2,68,141736.0,64484.0,772.52
2,69,141623.0,65124.0,764.99
2,70,142013.0,72500.0,695.13
2,71,319139.0,66157.0,2529.82
2,72,143432.0,65093.0,783.39
2,73,142572.0,67424.0,751.48
2,74,143933.0,67776.0,761.57
2,75,142224.0,67343.0,748.81
2,76,150563.0,67422.0,831.41
2,77,151857.0,64107.0,877.50
2,78,144706.0,65600.0,791.06
2,79,142465.0,67589.0,748.76
2,80,144302.0,65502.0,788.00
2,81,143188.0,67991.0,751.97
2,82,144262.0,65420.0,788.42
2,83,144692.0,64746.0,799.46
2,84,143332.0,70631.0,727.01
2,85,143242.0,66490.0,767.52
2,86,140761.0,70180.0,705.81
2,87,143824.0,67760.0,760.64
2,88,143408.0,67330.0,760.78
2,89,143533.0,70618.0,729.15
2,90,143045.0,63884.0,791.61
2,91,142861.0,77466.0,653.95
2,92,161213.0,67152.0,940.61
2,93,142210.0,65476.0,767.34
2,94,148956.0,67945.0,810.11
2,95,143577.0,67733.0,758.44
2,96,144667.0,66879.0,777.88
2,97,143286.0,65698.0,775.88
2,98,152871.0,63665.0,892.06
2,99,142450.0,71444.0,710.06
3,0,181803.0,71295.0,1105.08
3,1,179829.0,73763.0,1060.66
3,2,180202.0,69995.0,1102.07
3,3,180840.0,69193.0,1116.47
3,4,178929.0,69068.0,1098.61
3,5,179761.0,69792.0,1099.69
3,6,182132.0,68652.0,1134.80
3,7,180164.0,68111.0,1120.53
3,8,179509.0,68553.0,1109.56
3,9,179720.0,73069.0,1066.51
3,10,211319.0,69962.0,1413.57
3,11,196782.0,72029.0,1247.53
3,12,186531.0,68405.0,1181.26
3,13,186956.0,71372.0,1155.84
3,14,187264.0,69520.0,1177.44
3,15,186212.0,68721.0,1174.91
3,16,184668.0,69464.0,1152.04
3,17,187252.0,68773.0,1184.79
3,18,183996.0,71068.0,1129.28
3,19,184604.0,68778.0,1158.26
3,20,184710.0,72676.0,1120.34
3,21,185217.0,70228.0,1149.89
3,22,185331.0,72904.0,1124.27
3,23,184466.0,68217.0,1162.49
3,24,184262.0,70306.0,1139.56
3,25,184781.0,69485.0,1152.96
3,26,184122.0,72911.0,1112.11
3,27,183976.0,68382.0,1155.94
3,28,185030.0,69311.0,1157.19
3,29,184898.0,73128.0,1117.70
3,30,185531.0,68874.0,1166.57
3,31,186943.0,68999.0,1179.44
3,32,188045.0,72260.0,1157.85
3,33,188967.0,72729.0,1162.38
3,34,187412.0,73590.0,1138.22
3,35,186744.0,71414.0,1153.30
3,36,186784.0,72405.0,1143.79
3,37,186995.0,72323.0,1146.72
3,38,184783.0,73873.0,1109.10
3,39,186159.0,72689.0,1134.70
3,40,183803.0,71598.0,1122.05
3,41,187099.0,68453.0,1186.46
3,42,185293.0,77641.0,1076.52
3,43,183210.0,68103.0,1151.07
3,44,187027.0,71747.0,1152.80
3,45,188424.0,69493.0,1189.31
3,46,184376.0,72115.0,1122.61
3,47,184345.0,72484.0,1118.61
3,48,182762.0,68052.0,1147.10
3,49,184045.0,68383.0,1156.62
3,50,185353.0,68869.0,1164.84
3,51,184739.0,76100.0,1086.39
3,52,195676.0,70078.0,1255.98
3,53,186696.0,70159.0,1165.37
3,54,186815.0,70944.0,1158.71
3,55,188102.0,68140.0,1199.62
3,56,186545.0,68047.0,1184.98
3,57,186266.0,68045.0,1182.21
3,58,185345.0,68090.0,1172.55
3,59,186607.0,73286.0,1133.21
3,60,185261.0,75875.0,1093.86
3,61,186758.0,70162.0,1165.96
3,62,184694.0,68294.0,1164.00
3,63,184265.0,68996.0,1152.69
3,64,184296.0,70053.0,1142.43
3,65,185528.0,69536.0,1159.92
3,66,183635.0,68451.0,1151.84
3,67,185407.0,68104.0,1173.03
3,68,185201.0,73804.0,1113.97
3,69,183841.0,71574.0,1122.67
3,70,185904.0,72433.0,1134.71
3,71,185062.0,109885.0,751.77
3,72,185386.0,81126.0,1042.60
3,73,187628.0,77402.0,1102.26
3,74,188491.0,76149.0,1123.42
3,75,190426.0,76919.0,1135.07
3,76,188591.0,75531.0,1130.60
3,77,188451.0,75876.0,1125.75
3,78,187132.0,73331.0,1138.01
3,79,186135.0,75146.0,1109.89
3,80,183554.0,70528.0,1130.26
3,81,185611.0,71894.0,1137.17
3,82,184559.0,71784.0,1127.75
3,83,186055.0,75392.0,1106.63
3,84,186105.0,70896.0,1152.09
3,85,185932.0,71109.0,1148.23
3,86,186072.0,71713.0,1143.59
3,87,185009.0,74458.0,1105.51
3,88,183908.0,70200.0,1137.08
3,89,186402.0,72911.0,1134.91
3,90,187783.0,70923.0,1168.60
3,91,185396.0,71458.0,1139.38
3,92,184171.0,74780.0,1093.91
3,93,184437.0,71245.0,1131.92
3,94,184034.0,70896.0,1131.38
