tasklets,barrier_ns,control_ns,overhead_ns_per_barrier
1,61571.4,33285.7,282.86
2,105574.3,33288.6,722.86
3,152720.0,33291.4,1194.29
4,203008.6,33294.3,1697.14
5,250154.3,33297.1,2168.57
6,297300.0,33300.0,2640.00
7,347588.6,33302.9,3142.86
8,394734.3,33305.7,3614.29
9,445022.9,33308.6,4117.14
10,492168.6,33311.4,4588.57
11,542742.9,33314.3,5094.29
12,592057.1,36342.9,5557.14
13,641371.4,39371.4,6020.00
14,690685.7,42400.0,6482.86
15,790285.7,45428.6,7448.57
16,877314.3,48457.1,8288.57
17,961200.0,51485.7,9097.14
18,1048228.6,54514.3,9937.14
19,1135257.1,57542.9,10777.14
20,1222285.7,60571.4,11617.14
21,1309314.3,63600.0,12457.14
22,1393200.0,66628.6,13265.71
23,1480228.6,69657.1,14105.71
24,1567257.1,72685.7,14945.71
