M,T,time_iter_ns
16777216,8,13.470
16777216,8,13.370
16777216,8,13.383
16777216,8,13.298
16777216,8,13.330
16777216,8,13.395
16777216,8,13.310
16777216,8,13.339
16777216,8,13.358
16777216,8,13.343
16777216,8,13.320
16777216,8,13.358
16777216,8,13.324
16777216,8,13.372
16777216,8,13.562
16777216,8,13.400
16777216,8,13.384
16777216,8,13.377
16777216,8,13.367
16777216,8,13.500
16777216,16,24.190
16777216,16,24.360
16777216,16,24.201
16777216,16,24.499
16777216,16,24.298
16777216,16,24.260
16777216,16,24.278
16777216,16,24.203
16777216,16,24.332
16777216,16,24.436
16777216,16,24.347
16777216,16,24.362
16777216,16,24.258
16777216,16,24.377
16777216,16,24.357
16777216,16,24.322
16777216,16,24.285
16777216,16,24.265
16777216,16,24.369
16777216,16,24.539
16777216,32,61.152
16777216,32,60.661
16777216,32,60.830
16777216,32,60.499
16777216,32,60.639
16777216,32,61.651
16777216,32,60.836
16777216,32,61.301
16777216,32,60.743
16777216,32,60.535
16777216,32,60.117
16777216,32,60.211
16777216,32,60.515
16777216,32,61.613
16777216,32,61.840
16777216,32,61.201
16777216,32,61.010
16777216,32,61.671
16777216,32,61.369
16777216,32,61.251
16777216,64,113.907
16777216,64,117.779
16777216,64,112.785
16777216,64,111.662
16777216,64,106.933
16777216,64,106.077
16777216,64,105.739
16777216,64,105.693
16777216,64,105.096
16777216,64,105.193
16777216,64,104.934
16777216,64,104.674
16777216,64,105.017
16777216,64,106.541
16777216,64,105.035
16777216,64,104.793
16777216,64,104.684
16777216,64,104.305
16777216,64,104.285
16777216,64,104.361
16777216,128,190.093
16777216,128,189.342
16777216,128,188.716
16777216,128,188.842
16777216,128,193.516
16777216,128,197.645
16777216,128,194.369
16777216,128,190.950
16777216,128,193.392
16777216,128,191.543
16777216,128,191.547
16777216,128,189.451
16777216,128,190.872
16777216,128,190.773
16777216,128,189.802
16777216,128,191.251
16777216,128,190.399
16777216,128,189.732
16777216,128,189.897
16777216,128,189.979
16777216,256,359.622
16777216,256,359.209
16777216,256,358.448
16777216,256,357.561
16777216,256,358.823
16777216,256,359.150
16777216,256,358.058
16777216,256,360.544
16777216,256,359.945
16777216,256,359.118
16777216,256,359.268
16777216,256,358.663
16777216,256,359.178
16777216,256,359.298
16777216,256,359.481
16777216,256,358.468
16777216,256,360.125
16777216,256,357.317
16777216,256,358.284
16777216,256,360.553
16777216,1024,1014.708
16777216,1024,1009.318
16777216,1024,1010.739
16777216,1024,1012.135
16777216,1024,1056.616
16777216,1024,1014.439
16777216,1024,1017.143
16777216,1024,1015.875
16777216,1024,1010.232
16777216,1024,1005.053
16777216,1024,1005.756
16777216,1024,1004.421
16777216,1024,1004.921
16777216,1024,1013.044
16777216,1024,1012.811
16777216,1024,1020.161
16777216,1024,1012.506
16777216,1024,1011.670
16777216,1024,1004.461
16777216,1024,1013.035
16777216,4096,3809.290
16777216,4096,3833.875
16777216,4096,3821.006
16777216,4096,3841.505
16777216,4096,3808.159
16777216,4096,3846.416
16777216,4096,3815.272
16777216,4096,3836.953
16777216,4096,3815.655
16777216,4096,3801.943
16777216,4096,3842.007
16777216,4096,3817.253
16777216,4096,3827.092
16777216,4096,3828.324
16777216,4096,3803.582
16777216,4096,3809.540
16777216,4096,3821.501
16777216,4096,3860.473
16777216,4096,3809.066
16777216,4096,3818.984
16777216,16384,14508.834
16777216,16384,14279.672
16777216,16384,14328.840
16777216,16384,14333.455
16777216,16384,14257.102
16777216,16384,14323.809
16777216,16384,14191.619
16777216,16384,14427.771
16777216,16384,14327.416
16777216,16384,14208.143
16777216,16384,14406.809
16777216,16384,14411.477
16777216,16384,14341.473
16777216,16384,14319.553
16777216,16384,14304.621
16777216,16384,14356.537
16777216,16384,14343.822
16777216,16384,14185.061
16777216,16384,14376.713
16777216,16384,14467.805
16777216,65536,56735.570
16777216,65536,55919.836
16777216,65536,56180.305
16777216,65536,56677.320
16777216,65536,56428.641
16777216,65536,56259.625
16777216,65536,56511.820
16777216,65536,56099.016
16777216,65536,56618.648
16777216,65536,55886.234
16777216,65536,56639.133
16777216,65536,56262.516
16777216,65536,56405.102
16777216,65536,56342.461
16777216,65536,55834.805
16777216,65536,56587.805
16777216,65536,56680.727
16777216,65536,56403.594
16777216,65536,55668.398
16777216,65536,56509.383
