M,time_iter_ns
8,54.250
8,11.750
8,9.500
8,9.625
8,9.875
8,10.000
8,9.375
8,9.875
8,10.125
8,9.625
8,9.500
8,9.750
8,9.625
8,10.000
8,9.875
8,9.750
8,10.000
8,10.125
8,9.500
8,9.750
8,9.375
8,9.500
8,9.875
8,10.000
8,9.375
8,9.500
8,9.875
8,10.125
8,9.875
8,9.625
8,9.750
8,9.500
8,9.500
8,9.500
8,10.000
8,10.000
8,9.875
8,9.375
8,10.000
8,10.000
8,9.500
8,9.750
8,10.125
8,9.750
8,9.500
8,9.750
8,10.125
8,10.000
8,9.875
8,9.375
8,9.500
8,9.750
8,9.875
8,9.625
8,10.000
8,9.875
8,9.625
8,10.000
8,9.625
8,9.750
8,9.875
8,10.000
8,9.500
8,9.250
8,9.875
8,9.500
8,9.875
8,9.750
8,9.750
8,10.000
8,9.750
8,9.750
8,9.500
8,9.875
8,9.750
8,9.250
8,9.625
8,9.250
8,10.000
8,10.000
8,9.250
8,9.875
8,9.500
8,9.750
8,9.625
8,10.125
8,9.375
8,9.625
8,9.500
8,9.750
8,9.750
8,10.000
8,9.250
8,10.000
8,9.875
8,10.000
8,9.375
8,9.625
8,9.750
8,9.500
8,10.000
8,9.625
8,9.750
8,10.000
8,9.625
8,9.375
8,9.625
8,9.500
8,9.750
8,9.750
8,9.250
8,10.125
8,10.000
8,9.875
8,9.875
8,9.250
8,9.875
8,10.000
8,9.500
8,9.750
8,10.000
8,9.375
8,10.000
8,9.750
8,9.500
8,10.125
8,9.875
8,9.625
8,10.000
8,10.125
8,9.500
8,9.750
8,10.000
8,9.750
8,9.750
8,9.500
8,9.625
8,9.875
8,9.750
8,9.875
8,9.750
8,10.000
8,9.625
8,9.875
8,9.500
8,9.500
8,9.750
8,9.875
8,9.500
8,9.750
8,10.000
8,9.375
8,9.750
8,10.125
8,10.125
8,10.000
8,10.000
8,9.750
8,9.750
8,9.500
8,9.875
8,9.875
8,9.875
8,9.250
8,9.500
8,10.000
8,9.750
8,9.000
8,9.500
8,9.500
8,10.000
8,9.750
8,10.000
8,9.375
8,9.625
8,9.750
8,9.750
8,9.875
8,9.750
8,9.750
8,10.000
8,9.250
8,9.125
8,9.500
8,9.625
8,9.500
8,10.125
8,10.000
8,9.875
8,10.125
8,10.125
8,9.375
8,9.375
8,9.500
8,9.750
8,9.875
8,9.750
8,9.500
8,9.500
8,10.125
16,22.500
16,6.250
16,4.875
16,5.000
16,4.875
16,5.000
16,5.000
16,4.938
16,5.000
16,4.875
16,4.875
16,5.000
16,4.812
16,4.812
16,4.938
