requested_dpus,allocated_dpus,tasklets,phase,iter,ns
1,1,8,alloc,0,53083814
1,1,8,load,0,431865
1,1,8,launch,0,94525
1,1,8,launch,1,51616
1,1,8,launch,2,49113
1,1,8,launch,3,49448
1,1,8,launch,4,51603
1,1,8,launch,5,49468
1,1,8,launch,6,49062
1,1,8,launch,7,48690
1,1,8,launch,8,50374
1,1,8,launch,9,49368
1,1,8,launch,10,51049
1,1,8,launch,11,49132
1,1,8,launch,12,51849
1,1,8,launch,13,50958
1,1,8,launch,14,51087
1,1,8,launch,15,49343
1,1,8,launch,16,50306
1,1,8,launch,17,49203
1,1,8,launch,18,48997
1,1,8,launch,19,48124
1,1,8,launch,20,49906
1,1,8,launch,21,50561
1,1,8,launch,22,48983
1,1,8,launch,23,48998
1,1,8,launch,24,52501
1,1,8,launch,25,50399
1,1,8,launch,26,50454
1,1,8,launch,27,49702
1,1,8,launch,28,49648
1,1,8,launch,29,49236
1,1,8,launch,30,48853
1,1,8,launch,31,48580
1,1,8,launch,32,48815
1,1,8,launch,33,49304
1,1,8,launch,34,48588
1,1,8,launch,35,49649
1,1,8,launch,36,50002
1,1,8,launch,37,50459
1,1,8,launch,38,49444
1,1,8,launch,39,48489
1,1,8,launch,40,51725
1,1,8,launch,41,48772
1,1,8,launch,42,48401
1,1,8,launch,43,48503
1,1,8,launch,44,50059
1,1,8,launch,45,49440
1,1,8,launch,46,51301
1,1,8,launch,47,54211
1,1,8,launch,48,49717
1,1,8,launch,49,49449
2,2,8,alloc,0,25482611
2,2,8,load,0,302034
2,2,8,launch,0,49238
2,2,8,launch,1,46812
2,2,8,launch,2,50341
2,2,8,launch,3,50282
2,2,8,launch,4,48894
2,2,8,launch,5,48203
2,2,8,launch,6,47745
2,2,8,launch,7,49443
2,2,8,launch,8,49942
2,2,8,launch,9,47721
2,2,8,launch,10,49129
2,2,8,launch,11,48290
2,2,8,launch,12,50821
2,2,8,launch,13,49671
2,2,8,launch,14,49015
2,2,8,launch,15,48837
2,2,8,launch,16,48285
2,2,8,launch,17,49482
2,2,8,launch,18,49823
2,2,8,launch,19,47399
2,2,8,launch,20,47953
2,2,8,launch,21,48926
2,2,8,launch,22,48850
2,2,8,launch,23,54198
2,2,8,launch,24,48466
2,2,8,launch,25,48551
2,2,8,launch,26,47808
2,2,8,launch,27,50036
2,2,8,launch,28,49707
2,2,8,launch,29,49212
2,2,8,launch,30,48245
2,2,8,launch,31,49485
2,2,8,launch,32,47782
2,2,8,launch,33,49321
2,2,8,launch,34,49262
2,2,8,launch,35,48497
2,2,8,launch,36,50141
2,2,8,launch,37,49087
2,2,8,launch,38,48421
2,2,8,launch,39,48711
2,2,8,launch,40,53013
2,2,8,launch,41,79476
2,2,8,launch,42,49587
2,2,8,launch,43,49766
2,2,8,launch,44,51130
2,2,8,launch,45,48654
2,2,8,launch,46,49157
2,2,8,launch,47,49187
2,2,8,launch,48,47940
2,2,8,launch,49,47830
4,4,8,alloc,0,16714803
4,4,8,load,0,305668
4,4,8,launch,0,50362
4,4,8,launch,1,49705
4,4,8,launch,2,47918
4,4,8,launch,3,49317
4,4,8,launch,4,49895
4,4,8,launch,5,47085
4,4,8,launch,6,49408
4,4,8,launch,7,49525
4,4,8,launch,8,48860
4,4,8,launch,9,49684
4,4,8,launch,10,55116
4,4,8,launch,11,50607
4,4,8,launch,12,49001
4,4,8,launch,13,50050
4,4,8,launch,14,50048
4,4,8,launch,15,48758
4,4,8,launch,16,49358
4,4,8,launch,17,48162
4,4,8,launch,18,49967
4,4,8,launch,19,49380
4,4,8,launch,20,49222
4,4,8,launch,21,48514
4,4,8,launch,22,49381
4,4,8,launch,23,49647
4,4,8,launch,24,48419
4,4,8,launch,25,50095
4,4,8,launch,26,60696
4,4,8,launch,27,52092
4,4,8,launch,28,52067
4,4,8,launch,29,51210
4,4,8,launch,30,50603
4,4,8,launch,31,50586
4,4,8,launch,32,49403
4,4,8,launch,33,49366
4,4,8,launch,34,49638
4,4,8,launch,35,49126
4,4,8,launch,36,48722
4,4,8,launch,37,49187
4,4,8,launch,38,55379
4,4,8,launch,39,49342
4,4,8,launch,40,50462
4,4,8,launch,41,50523
4,4,8,launch,42,48909
4,4,8,launch,43,49243
4,4,8,launch,44,49378
4,4,8,launch,45,49581
4,4,8,launch,46,54771
4,4,8,launch,47,50368
4,4,8,launch,48,49593
4,4,8,launch,49,49773
8,8,8,alloc,0,16638454
8,8,8,load,0,321250
8,8,8,launch,0,48440
8,8,8,launch,1,47496
8,8,8,launch,2,47559
8,8,8,launch,3,47359
8,8,8,launch,4,48337
8,8,8,launch,5,47743
8,8,8,launch,6,47254
8,8,8,launch,7,46173
8,8,8,launch,8,48547
8,8,8,launch,9,52653
8,8,8,launch,10,47665
8,8,8,launch,11,47826
8,8,8,launch,12,47629
8,8,8,launch,13,47193
8,8,8,launch,14,47739
8,8,8,launch,15,47112
8,8,8,launch,16,47843
8,8,8,launch,17,58521
8,8,8,launch,18,47976
8,8,8,launch,19,47809
8,8,8,launch,20,49235
8,8,8,launch,21,47161
8,8,8,launch,22,47004
8,8,8,launch,23,47065
8,8,8,launch,24,47812
8,8,8,launch,25,47950
8,8,8,launch,26,47410
8,8,8,launch,27,48192
8,8,8,launch,28,46658
8,8,8,launch,29,45842
8,8,8,launch,30,47817
8,8,8,launch,31,46517
8,8,8,launch,32,48130
8,8,8,launch,33,47870
8,8,8,launch,34,46525
8,8,8,launch,35,47261
8,8,8,launch,36,47152
8,8,8,launch,37,46847
8,8,8,launch,38,47714
8,8,8,launch,39,47891
8,8,8,launch,40,46977
8,8,8,launch,41,47244
8,8,8,launch,42,48141
8,8,8,launch,43,48078
8,8,8,launch,44,46354
8,8,8,launch,45,47700
8,8,8,launch,46,47222
8,8,8,launch,47,46737
8,8,8,launch,48,47262
8,8,8,launch,49,47932
16,16,8,alloc,0,35508620
16,16,8,load,0,318938
16,16,8,launch,0,49953
16,16,8,launch,1,48253
16,16,8,launch,2,46806
16,16,8,launch,3,52107
16,16,8,launch,4,46961
16,16,8,launch,5,47227
16,16,8,launch,6,47671
16,16,8,launch,7,47366
16,16,8,launch,8,47194
16,16,8,launch,9,46363
16,16,8,launch,10,47166
16,16,8,launch,11,53158
16,16,8,launch,12,48169
16,16,8,launch,13,52667
16,16,8,launch,14,52553
16,16,8,launch,15,46952
16,16,8,launch,16,47196
16,16,8,launch,17,53278
16,16,8,launch,18,53762
16,16,8,launch,19,52898
16,16,8,launch,20,51685
16,16,8,launch,21,53987
16,16,8,launch,22,47334
16,16,8,launch,23,46546
16,16,8,launch,24,46945
16,16,8,launch,25,47427
16,16,8,launch,26,47484
16,16,8,launch,27,47764
16,16,8,launch,28,46457
16,16,8,launch,29,46572
16,16,8,launch,30,47165
16,16,8,launch,31,52206
16,16,8,launch,32,298818
16,16,8,launch,33,51391
16,16,8,launch,34,51848
16,16,8,launch,35,46592
16,16,8,launch,36,52380
16,16,8,launch,37,49393
16,16,8,launch,38,47075
16,16,8,launch,39,46565
16,16,8,launch,40,46945
16,16,8,launch,41,52520
16,16,8,launch,42,47354
16,16,8,launch,43,52463
16,16,8,launch,44,48041
16,16,8,launch,45,47525
16,16,8,launch,46,46353
16,16,8,launch,47,46731
16,16,8,launch,48,46935
16,16,8,launch,49,48198
32,32,8,alloc,0,22837310
32,32,8,load,0,313239
32,32,8,launch,0,49577
32,32,8,launch,1,47641
32,32,8,launch,2,47162
32,32,8,launch,3,48615
32,32,8,launch,4,47499
32,32,8,launch,5,47441
32,32,8,launch,6,48370
32,32,8,launch,7,51589
32,32,8,launch,8,47092
32,32,8,launch,9,47431
32,32,8,launch,10,47812
32,32,8,launch,11,47423
32,32,8,launch,12,46296
32,32,8,launch,13,46637
32,32,8,launch,14,48085
32,32,8,launch,15,48067
32,32,8,launch,16,47318
32,32,8,launch,17,46490
32,32,8,launch,18,47724
32,32,8,launch,19,47329
32,32,8,launch,20,47158
32,32,8,launch,21,48221
32,32,8,launch,22,47175
32,32,8,launch,23,47285
32,32,8,launch,24,47579
32,32,8,launch,25,47806
32,32,8,launch,26,45860
32,32,8,launch,27,49189
32,32,8,launch,28,47712
32,32,8,launch,29,47186
32,32,8,launch,30,47768
32,32,8,launch,31,47819
32,32,8,launch,32,46442
32,32,8,launch,33,46508
32,32,8,launch,34,47413
32,32,8,launch,35,47169
32,32,8,launch,36,47666
32,32,8,launch,37,47357
32,32,8,launch,38,47770
32,32,8,launch,39,46635
32,32,8,launch,40,47634
32,32,8,launch,41,47825
32,32,8,launch,42,47150
32,32,8,launch,43,47915
32,32,8,launch,44,47785
32,32,8,launch,45,47352
32,32,8,launch,46,48696
32,32,8,launch,47,47493
32,32,8,launch,48,45996
32,32,8,launch,49,48097
64,64,8,alloc,0,15825671
64,64,8,load,0,316990
64,64,8,launch,0,49400
64,64,8,launch,1,46007
64,64,8,launch,2,46980
64,64,8,launch,3,47379
64,64,8,launch,4,46929
64,64,8,launch,5,46956
64,64,8,launch,6,47916
64,64,8,launch,7,49277
64,64,8,launch,8,46433
64,64,8,launch,9,47409
64,64,8,launch,10,47011
64,64,8,launch,11,47132
