tasklets,trial,barrier_ns,control_ns,overhead_ns_per_barrier
1,0,161025.0,130115.0,309.10
1,1,160359.0,133726.0,266.33
1,2,159555.0,129191.0,303.64
1,3,166032.0,208312.0,-422.80
1,4,160576.0,154350.0,62.26
1,5,159524.0,135223.0,243.01
1,6,160346.0,134297.0,260.49
1,7,159056.0,134930.0,241.26
1,8,158778.0,135864.0,229.14
1,9,164936.0,135980.0,289.56
1,10,164066.0,133098.0,309.68
1,11,164085.0,133711.0,303.74
1,12,158470.0,132625.0,258.45
1,13,158708.0,132177.0,265.31
1,14,158325.0,131097.0,272.28
1,15,164012.0,134282.0,297.30
1,16,164641.0,133531.0,311.10
1,17,159966.0,132125.0,278.41
1,18,164111.0,133080.0,310.31
1,19,159294.0,131474.0,278.20
1,20,159342.0,134012.0,253.30
1,21,159091.0,134037.0,250.54
1,22,168383.0,131301.0,370.82
1,23,160367.0,134119.0,262.48
1,24,158723.0,133603.0,251.20
1,25,159584.0,132096.0,274.88
1,26,159061.0,130813.0,282.48
1,27,159085.0,131529.0,275.56
1,28,159557.0,133262.0,262.95
1,29,159692.0,131606.0,280.86
1,30,160162.0,130893.0,292.69
1,31,158755.0,131370.0,273.85
1,32,160005.0,131763.0,282.42
1,33,158959.0,147607.0,113.52
1,34,163968.0,131301.0,326.67
1,35,159544.0,131515.0,280.29
1,36,159402.0,133419.0,259.83
1,37,158383.0,131902.0,264.81
1,38,158861.0,132165.0,266.96
1,39,165015.0,131179.0,338.36
1,40,163985.0,131063.0,329.22
1,41,163781.0,131268.0,325.13
1,42,159284.0,131551.0,277.33
1,43,159732.0,132942.0,267.90
1,44,164654.0,132710.0,319.44
1,45,159858.0,131390.0,284.68
1,46,159537.0,132050.0,274.87
1,47,170071.0,131415.0,386.56
1,48,165576.0,131244.0,343.32
1,49,165375.0,131671.0,337.04
1,50,165324.0,131665.0,336.59
1,51,164603.0,132312.0,322.91
1,52,160622.0,132132.0,284.90
1,53,160415.0,131952.0,284.63
1,54,160207.0,131462.0,287.45
1,55,160310.0,131887.0,284.23
1,56,160467.0,131837.0,286.30
1,57,159042.0,131728.0,273.14
1,58,159974.0,131270.0,287.04
1,59,163726.0,132918.0,308.08
1,60,164199.0,131663.0,325.36
1,61,164942.0,131314.0,336.28
1,62,159579.0,131538.0,280.41
1,63,163847.0,133174.0,306.73
1,64,158252.0,134710.0,235.42
1,65,159459.0,133616.0,258.43
1,66,158663.0,133450.0,252.13
1,67,158791.0,133711.0,250.80
1,68,165087.0,132680.0,324.07
1,69,159581.0,131883.0,276.98
1,70,158923.0,131057.0,278.66
1,71,160058.0,131389.0,286.69
1,72,160986.0,132258.0,287.28
1,73,159819.0,132026.0,277.93
1,74,164907.0,132489.0,324.18
1,75,160297.0,131891.0,284.06
1,76,160058.0,131923.0,281.35
1,77,159857.0,131871.0,279.86
1,78,159750.0,131340.0,284.10
1,79,164577.0,131145.0,334.32
1,80,158277.0,132321.0,259.56
1,81,164521.0,131811.0,327.10
1,82,159517.0,132139.0,273.78
1,83,158312.0,131920.0,263.92
1,84,164224.0,132231.0,319.93
1,85,164893.0,131177.0,337.16
1,86,158412.0,130689.0,277.23
1,87,158589.0,131403.0,271.86
1,88,163848.0,132204.0,316.44
