num_dpus,blocks_per_dpu,block_size,iter,ns
1984,1,8,0,310712
1984,1,8,1,330641
1984,1,8,2,291812
1984,1,8,3,300833
1984,1,8,4,314856
1984,1,8,5,283875
1984,1,8,6,298369
1984,1,8,7,292180
1984,1,8,8,292270
1984,1,8,9,284963
1984,1,16,0,291541
1984,1,16,1,313673
1984,1,16,2,309656
1984,1,16,3,290334
1984,1,16,4,307940
1984,1,16,5,288319
1984,1,16,6,305971
1984,1,16,7,296841
1984,1,16,8,293268
1984,1,16,9,292974
1984,1,24,0,298779
1984,1,24,1,285133
1984,1,24,2,296807
1984,1,24,3,285156
1984,1,24,4,312859
1984,1,24,5,313243
1984,1,24,6,281785
1984,1,24,7,279788
1984,1,24,8,288168
1984,1,24,9,294636
1984,1,32,0,295645
1984,1,32,1,286476
1984,1,32,2,292325
1984,1,32,3,309550
1984,1,32,4,310868
1984,1,32,5,275458
1984,1,32,6,276745
1984,1,32,7,285729
1984,1,32,8,291555
1984,1,32,9,299542
1984,1,40,0,298753
1984,1,40,1,300182
1984,1,40,2,317654
1984,1,40,3,284806
1984,1,40,4,274754
1984,1,40,5,356175
1984,1,40,6,297280
1984,1,40,7,297544
1984,1,40,8,299124
1984,1,40,9,301257
1984,1,48,0,279748
1984,1,48,1,292298
1984,1,48,2,300750
1984,1,48,3,290834
1984,1,48,4,300059
1984,1,48,5,294528
1984,1,48,6,300054
1984,1,48,7,293014
1984,1,48,8,296086
1984,1,48,9,295425
1984,1,56,0,310829
1984,1,56,1,320473
1984,1,56,2,310099
1984,1,56,3,304759
1984,1,56,4,302316
1984,1,56,5,296924
1984,1,56,6,309679
1984,1,56,7,366699
1984,1,56,8,311679
1984,1,56,9,300176
1984,1,64,0,326068
1984,1,64,1,292348
1984,1,64,2,307488
1984,1,64,3,310284
1984,1,64,4,332288
1984,1,64,5,308199
1984,1,64,6,299557
1984,1,64,7,330747
1984,1,64,8,300448
1984,1,64,9,314004
1984,1,72,0,328918
1984,1,72,1,322983
1984,1,72,2,315362
1984,1,72,3,313625
1984,1,72,4,293871
1984,1,72,5,332579
1984,1,72,6,314476
1984,1,72,7,326731
1984,1,72,8,314355
1984,1,72,9,312939
1984,1,80,0,359938
1984,1,80,1,360150
1984,1,80,2,355111
1984,1,80,3,383914
1984,1,80,4,351190
1984,1,80,5,347381
1984,1,80,6,339502
1984,1,80,7,326357
1984,1,80,8,340568
1984,1,80,9,355400
1984,1,88,0,670028
1984,1,88,1,369545
1984,1,88,2,357805
1984,1,88,3,348678
1984,1,88,4,339345
1984,1,88,5,319004
1984,1,88,6,346214
1984,1,88,7,320763
1984,1,88,8,331004
1984,1,88,9,341123
1984,1,96,0,317240
1984,1,96,1,371115
1984,1,96,2,334410
1984,1,96,3,325400
1984,1,96,4,329808
1984,1,96,5,322674
1984,1,96,6,367869
1984,1,96,7,361169
1984,1,96,8,359930
1984,1,96,9,358507
1984,1,104,0,390567
1984,1,104,1,372835
1984,1,104,2,359212
1984,1,104,3,347816
1984,1,104,4,360291
1984,1,104,5,351666
1984,1,104,6,373719
1984,1,104,7,358705
1984,1,104,8,352689
1984,1,104,9,353904
1984,1,112,0,351173
1984,1,112,1,353279
1984,1,112,2,360944
1984,1,112,3,359704
1984,1,112,4,364024
1984,1,112,5,341994
1984,1,112,6,361446
1984,1,112,7,370058
1984,1,112,8,344101
1984,1,112,9,381396
1984,1,120,0,368042
1984,1,120,1,350684
1984,1,120,2,365543
1984,1,120,3,357953
1984,1,120,4,358386
1984,1,120,5,343136
