tasklets,barrier_ns,control_ns,overhead_ns_per_barrier
1,61571.4,33285.7,282.86
2,96145.7,33288.6,628.57
3,140148.6,33291.4,1068.57
4,184151.4,33294.3,1508.57
5,228154.3,33297.1,1948.57
6,272157.1,33300.0,2388.57
7,316160.0,33302.9,2828.57
8,360162.9,33305.7,3268.57
9,404165.7,33308.6,3708.57
10,448168.6,33311.4,4148.57
11,492457.1,33314.3,4591.43
12,581771.4,36342.9,5454.29
13,682228.6,39371.4,6428.57
14,790685.7,42400.0,7482.86
15,907142.9,45428.6,8617.14
16,1031600.0,48457.1,9831.43
17,1164057.1,51485.7,11125.71
18,1304514.3,54514.3,12500.00
19,1452971.4,57542.9,13954.29
20,1609428.6,60571.4,15488.57
21,1773885.7,63600.0,17102.86
22,1946342.9,66628.6,18797.14
23,2126800.0,69657.1,20571.43
24,2315257.1,72685.7,22425.71
