tile_,tile_1,ranks,dpus,tasklets,visited,cost,mu,sigma,acq
1,1,1,1,1,1,,4.45775,3.43372,0.273554
1,1,1,1,2,1,,,,
1,1,1,1,3,1,,,,
1,1,1,1,4,1,,,,
1,1,1,1,6,1,,,,
1,1,1,1,8,1,,,,
1,1,1,1,12,1,,,,
1,1,1,1,16,1,,,,
1,1,1,1,24,1,,,,
1,2,1,1,1,0,,4.6564,3.35905,0.37473
1,2,1,1,2,1,,,,
1,2,1,1,3,1,,,,
1,2,1,1,4,1,,,,
1,2,1,1,6,1,,,,
1,2,1,1,8,1,,,,
1,2,1,1,12,1,,,,
1,2,1,1,16,1,,,,
1,2,1,1,24,1,,,,
1,3,1,1,1,1,,3.91798,3.69228,-0.0263397
1,3,1,1,2,1,,,,
1,3,1,1,3,1,,,,
1,3,1,1,4,1,,,,
1,3,1,1,6,1,,,,
1,3,1,1,8,1,,,,
1,3,1,1,12,1,,,,
1,3,1,1,16,1,,,,
1,3,1,1,24,1,,,,
1,4,1,1,1,0,,3.65674,3.79235,-0.160236
1,4,1,1,2,1,,,,
1,4,1,1,3,1,,,,
1,4,1,1,4,1,,,,
1,4,1,1,6,1,,,,
1,4,1,1,8,1,,,,
1,4,1,1,12,1,,,,
1,4,1,1,16,1,,,,
1,4,1,1,24,1,,,,
1,6,1,1,1,0,,3.32028,4.2101,-0.462342
1,6,1,1,2,1,,,,
1,6,1,1,3,1,,,,
1,6,1,1,4,1,,,,
1,6,1,1,6,1,,,,
1,6,1,1,8,1,,,,
1,6,1,1,12,1,,,,
1,6,1,1,16,1,,,,
1,6,1,1,24,1,,,,
1,8,1,1,1,1,,3.12732,4.67548,-0.736957
1,8,1,1,2,1,,,,
1,8,1,1,3,1,,,,
1,8,1,1,4,1,,,,
1,8,1,1,6,1,,,,
1,8,1,1,8,1,,,,
1,8,1,1,12,1,,,,
1,8,1,1,16,1,,,,
1,8,1,1,24,1,,,,
1,12,1,1,1,1,,2.91079,5.30718,-1.09426
1,12,1,1,2,1,,,,
1,12,1,1,3,1,,,,
1,12,1,1,4,1,,,,
1,12,1,1,6,1,,,,
1,12,1,1,8,1,,,,
1,12,1,1,12,1,,,,
1,12,1,1,16,1,,,,
1,12,1,1,24,1,,,,
1,16,1,1,1,0,,2.76834,5.73888,-1.33655
1,16,1,1,2,1,,,,
1,16,1,1,3,1,,,,
1,16,1,1,4,1,,,,
1,16,1,1,6,1,,,,
1,16,1,1,8,1,,,,
1,16,1,1,12,1,,,,
1,16,1,1,16,1,,,,
1,16,1,1,24,1,,,,
1,24,1,1,1,1,,2.57993,6.28836,-1.64736
1,24,1,1,2,1,,,,
1,24,1,1,3,1,,,,
1,24,1,1,4,1,,,,
1,24,1,1,6,1,,,,
1,24,1,1,8,1,,,,
1,24,1,1,12,1,,,,
1,24,1,1,16,1,,,,
1,24,1,1,24,1,,,,
1,32,1,1,1,0,,2.34621,6.54162,-1.84065
1,32,1,1,2,1,,,,
1,32,1,1,3,1,,,,
1,32,1,1,4,1,,,,
1,32,1,1,6,1,,,,
1,32,1,1,8,1,,,,
1,32,1,1,12,1,,,,
1,32,1,1,16,1,,,,
1,32,1,1,24,1,,,,
1,48,1,1,1,1,,1.96905,6.88442,-2.12297
1,48,1,1,2,1,,,,
1,48,1,1,3,1,,,,
1,48,1,1,4,1,,,,
1,48,1,1,6,1,,,,
1,48,1,1,8,1,,,,
1,48,1,1,12,1,,,,
1,48,1,1,16,1,,,,
1,48,1,1,24,1,,,,
1,64,1,1,1,1,,1.71004,7.11219,-2.31343
1,64,1,1,2,1,,,,
1,64,1,1,3,1,,,,
1,64,1,1,4,1,,,,
1,64,1,1,6,1,,,,
1,64,1,1,8,1,,,,
1,64,1,1,12,1,,,,
1,64,1,1,16,1,,,,
1,64,1,1,24,1,,,,
1,96,1,1,1,1,,1.31936,7.41976,-2.58455
1,96,1,1,2,1,,,,
1,96,1,1,3,1,,,,
1,96,1,1,4,1,,,,
1,96,1,1,6,1,,,,
1,96,1,1,8,1,,,,
1,96,1,1,12,1,,,,
1,96,1,1,16,1,,,,
1,96,1,1,24,1,,,,
1,128,1,1,1,1,,1.03701,7.63757,-2.77847
1,128,1,1,2,1,,,,
1,128,1,1,3,1,,,,
1,128,1,1,4,1,,,,
1,128,1,1,6,1,,,,
1,128,1,1,8,1,,,,
1,128,1,1,12,1,,,,
1,128,1,1,16,1,,,,
1,128,1,1,24,1,,,,
1,192,1,1,1,1,,0.632962,7.94068,-3.05214
1,192,1,1,2,1,,,,
1,192,1,1,3,1,,,,
1,192,1,1,4,1,,,,
1,192,1,1,6,1,,,,
1,192,1,1,8,1,,,,
1,192,1,1,12,1,,,,
1,192,1,1,16,1,,,,
1,192,1,1,24,1,,,,
1,256,1,1,1,0,,0.373527,8.10865,-3.2159
1,256,1,1,2,1,,,,
1,256,1,1,3,1,,,,
1,256,1,1,4,1,,,,
1,256,1,1,6,1,,,,
1,256,1,1,8,1,,,,
1,256,1,1,12,1,,,,
1,256,1,1,16,1,,,,
1,256,1,1,24,1,,,,
1,384,1,1,1,1,,0.0281727,8.33407,-3.43471
1,384,1,1,2,1,,,,
1,384,1,1,3,1,,,,
1,384,1,1,4,1,,,,
1,384,1,1,6,1,,,,
1,384,1,1,8,1,,,,
1,384,1,1,12,1,,,,
1,384,1,1,16,1,,,,
1,384,1,1,24,1,,,,
1,768,1,1,1,1,,-0.493634,8.76631,-3.80644
1,768,1,1,2,1,,,,
1,768,1,1,3,1,,,,
1,768,1,1,4,1,,,,
1,768,1,1,6,1,,,,
1,768,1,1,8,1,,,,
1,768,1,1,12,1,,,,
1,768,1,1,16,1,,,,
1,768,1,1,24,1,,,,
2,1,1,1,1,0,,4.86676,3.3024,0.471799
2,1,1,1,2,0,,3.88572,2.23355,0.617455
2,1,1,1,3,1,,,,
2,1,1,1,4,1,,,,
2,1,1,1,6,1,,,,
2,1,1,1,8,1,,,,
2,1,1,1,12,1,,,,
2,1,1,1,16,1,,,,
2,1,1,1,24,1,,,,
2,2,1,1,1,0,,4.6398,3.24069,0.422203
2,2,1,1,2,0,,4.19611,3.54928,0.132571
2,2,1,1,3,1,,,,
2,2,1,1,4,1,,,,
2,2,1,1,6,1,,,,
2,2,1,1,8,1,,,,
2,2,1,1,12,1,,,,
2,2,1,1,16,1,,,,
2,2,1,1,24,1,,,,
2,3,1,1,1,0,,4.9091,3.23363,0.51709
2,3,1,1,2,0,,4.19597,3.09381,0.336971
2,3,1,1,3,1,,,,
2,3,1,1,4,1,,,,
2,3,1,1,6,1,,,,
2,3,1,1,8,1,,,,
2,3,1,1,12,1,,,,
2,3,1,1,16,1,,,,
2,3,1,1,24,1,,,,
2,4,1,1,1,0,,4.70256,3.27275,0.429184
2,4,1,1,2,0,,4.55436,2.50833,0.721838
2,4,1,1,3,1,,,,
2,4,1,1,4,1,,,,
2,4,1,1,6,1,,,,
2,4,1,1,8,1,,,,
2,4,1,1,12,1,,,,
2,4,1,1,16,1,,,,
2,4,1,1,24,1,,,,
2,6,1,1,1,0,,4.29172,3.71244,0.091898
2,6,1,1,2,0,,4.67362,1.93726,1.01879
2,6,1,1,3,1,,,,
2,6,1,1,4,1,,,,
2,6,1,1,6,1,,,,
2,6,1,1,8,1,,,,
2,6,1,1,12,1,,,,
2,6,1,1,16,1,,,,
2,6,1,1,24,1,,,,
2,8,1,1,1,0,,4.14267,3.70209,0.0457795
2,8,1,1,2,0,,4.74966,1.94967,1.03912
2,8,1,1,3,1,,,,
2,8,1,1,4,1,,,,
2,8,1,1,6,1,,,,
2,8,1,1,8,1,,,,
2,8,1,1,12,1,,,,
2,8,1,1,16,1,,,,
2,8,1,1,24,1,,,,
2,12,1,1,1,0,,3.94756,3.59278,0.0283962
2,12,1,1,2,0,,4.74855,2.25472,0.901816
2,12,1,1,3,1,,,,
2,12,1,1,4,1,,,,
2,12,1,1,6,1,,,,
2,12,1,1,8,1,,,,
2,12,1,1,12,1,,,,
2,12,1,1,16,1,,,,
2,12,1,1,24,1,,,,
2,16,1,1,1,0,,3.8007,3.53272,0.00533625
2,16,1,1,2,0,,4.58522,2.28148,0.834177
2,16,1,1,3,1,,,,
2,16,1,1,4,1,,,,
2,16,1,1,6,1,,,,
2,16,1,1,8,1,,,,
2,16,1,1,12,1,,,,
2,16,1,1,16,1,,,,
2,16,1,1,24,1,,,,
2,24,1,1,1,0,,3.63746,3.67076,-0.112221
2,24,1,1,2,0,,4.35027,2.52658,0.64414
2,24,1,1,3,1,,,,
2,24,1,1,4,1,,,,
2,24,1,1,6,1,,,,
2,24,1,1,8,1,,,,
2,24,1,1,12,1,,,,
2,24,1,1,16,1,,,,
2,24,1,1,24,1,,,,
2,32,1,1,1,0,,3.53145,3.90932,-0.255413
2,32,1,1,2,0,,4.27348,2.68009,0.549078
2,32,1,1,3,1,,,,
2,32,1,1,4,1,,,,
2,32,1,1,6,1,,,,
2,32,1,1,8,1,,,,
2,32,1,1,12,1,,,,
2,32,1,1,16,1,,,,
2,32,1,1,24,1,,,,
2,48,1,1,1,0,,3.38634,4.15952,-0.417137
2,48,1,1,2,0,,4.15005,2.92976,0.39497
2,48,1,1,3,1,,,,
2,48,1,1,4,1,,,,
2,48,1,1,6,1,,,,
2,48,1,1,8,1,,,,
2,48,1,1,12,1,,,,
2,48,1,1,16,1,,,,
2,48,1,1,24,1,,,,
2,64,1,1,1,0,,3.31093,4.28811,-0.500542
2,64,1,1,2,0,,4.02688,3.01791,0.313453
2,64,1,1,3,1,,,,
2,64,1,1,4,1,,,,
2,64,1,1,6,1,,,,
2,64,1,1,8,1,,,,
2,64,1,1,12,1,,,,
2,64,1,1,16,1,,,,
2,64,1,1,24,1,,,,
2,96,1,1,1,0,,3.07742,4.67108,-0.751975
2,96,1,1,2,0,,3.82046,3.04656,0.23029
2,96,1,1,3,1,,,,
2,96,1,1,4,1,,,,
2,96,1,1,6,1,,,,
2,96,1,1,8,1,,,,
2,96,1,1,12,1,,,,
2,96,1,1,16,1,,,,
2,96,1,1,24,1,,,,
2,128,1,1,1,0,,2.87011,4.90764,-0.928767
2,128,1,1,2,0,,3.65553,3.0966,0.151656
2,128,1,1,3,1,,,,
2,128,1,1,4,1,,,,
2,128,1,1,6,1,,,,
2,128,1,1,8,1,,,,
2,128,1,1,12,1,,,,
2,128,1,1,16,1,,,,
2,128,1,1,24,1,,,,
2,192,1,1,1,0,,2.56031,5.26412,-1.19429
2,192,1,1,2,0,,3.39058,3.22715,0.00282019
2,192,1,1,3,1,,,,
2,192,1,1,4,1,,,,
2,192,1,1,6,1,,,,
2,192,1,1,8,1,,,,
2,192,1,1,12,1,,,,
2,192,1,1,16,1,,,,
2,192,1,1,24,1,,,,
2,256,1,1,1,0,,2.33082,5.52699,-1.39045
2,256,1,1,2,0,,3.19396,3.32757,-0.109223
2,256,1,1,3,1,,,,
2,256,1,1,4,1,,,,
2,256,1,1,6,1,,,,
2,256,1,1,8,1,,,,
2,256,1,1,12,1,,,,
2,256,1,1,16,1,,,,
2,256,1,1,24,1,,,,
2,384,1,1,1,0,,2.03747,5.91032,-1.66242
2,384,1,1,2,0,,2.90763,3.48594,-0.277827
2,384,1,1,3,1,,,,
2,384,1,1,4,1,,,,
2,384,1,1,6,1,,,,
2,384,1,1,8,1,,,,
2,384,1,1,12,1,,,,
2,384,1,1,16,1,,,,
2,384,1,1,24,1,,,,
2,768,1,1,1,1,3.04859e+06,1.58059,6.49266,-2.07942
2,768,1,1,2,1,777418,2.40639,3.79734,-0.588317
2,768,1,1,3,1,,,,
2,768,1,1,4,1,,,,
2,768,1,1,6,1,,,,
2,768,1,1,8,1,,,,
2,768,1,1,12,1,,,,
2,768,1,1,16,1,,,,
2,768,1,1,24,1,,,,
3,1,1,1,1,0,,5.07823,2.27756,1.00384
3,1,1,1,2,1,,,,
3,1,1,1,3,0,,4.60586,1.52257,1.18186
3,1,1,1,4,1,,,,
3,1,1,1,6,1,,,,
3,1,1,1,8,1,,,,
3,1,1,1,12,1,,,,
3,1,1,1,16,1,,,,
3,1,1,1,24,1,,,,
3,2,1,1,1,0,,4.77266,2.95286,0.596652
3,2,1,1,2,1,,,,
3,2,1,1,3,0,,4.56226,3.54385,0.259712
3,2,1,1,4,1,,,,
3,2,1,1,6,1,,,,
3,2,1,1,8,1,,,,
3,2,1,1,12,1,,,,
3,2,1,1,16,1,,,,
3,2,1,1,24,1,,,,
3,3,1,1,1,0,,4.62697,3.50005,0.30141
3,3,1,1,2,1,,,,
3,3,1,1,3,0,,3.74244,3.74572,-0.110116
3,3,1,1,4,1,,,,
3,3,1,1,6,1,,,,
3,3,1,1,8,1,,,,
3,3,1,1,12,1,,,,
3,3,1,1,16,1,,,,
3,3,1,1,24,1,,,,
3,4,1,1,1,0,,4.84177,3.51829,0.366384
3,4,1,1,2,1,,,,
3,4,1,1,3,0,,3.36619,3.33051,-0.0518784
3,4,1,1,4,1,,,,
3,4,1,1,6,1,,,,
3,4,1,1,8,1,,,,
3,4,1,1,12,1,,,,
